i,t_v,tensión(V)
0,1668005145.7334278,-1.37694000E-04

0,1668005146.2534277,-1.39755000E-04

0,1668005146.783428,-1.39432000E-04

0,1668005147.3134277,-1.39058000E-04

0,1668005147.8334277,-1.38027000E-04

0,1668005148.3634279,-1.36372000E-04

0,1668005148.8834279,-1.34468000E-04

0,1668005149.4134278,-1.32563000E-04

0,1668005149.9334278,-1.37163000E-04

0,1668005150.4634278,-1.39110000E-04

0,1668005150.9934278,-1.41525000E-04

0,1668005151.5154278,-1.35498000E-04

0,1668005152.0454278,-1.28930000E-04

0,1668005152.5654278,-1.25797000E-04

0,1668005153.0954278,-1.33083000E-04

0,1668005153.6254277,-1.32584000E-04

0,1668005154.1464279,-1.30752000E-04

0,1668005154.6764278,-1.25776000E-04

0,1668005155.1964278,-1.30512000E-04

0,1668005155.7264278,-1.24663000E-04

0,1668005156.246428,-1.28597000E-04

0,1668005156.7764277,-1.28743000E-04

0,1668005157.306428,-1.26058000E-04

0,1668005157.826428,-1.24538000E-04

0,1668005158.3564277,-1.27348000E-04

0,1668005158.876428,-1.27577000E-04

0,1668005159.4064279,-1.21020000E-04

0,1668005159.9264278,-1.12464000E-04

0,1668005160.4564278,-1.21301000E-04

0,1668005160.9674277,-1.30346000E-04

0,1668005161.507428,-1.32636000E-04

0,1668005162.027428,-1.33052000E-04

0,1668005162.5544279,-1.33895000E-04

0,1668005163.0844278,-1.37320000E-04

0,1668005163.6104279,-1.34488000E-04

0,1668005164.1304278,-1.27369000E-04

0,1668005164.6604278,-1.21884000E-04

0,1668005165.1804278,-1.20218000E-04

0,1668005165.710428,-1.24975000E-04

0,1668005166.218428,-1.24371000E-04

0,1668005166.7614276,-1.23986000E-04

0,1668005167.2814276,-1.25808000E-04

0,1668005167.8114278,-1.25631000E-04

0,1668005168.3314278,-1.26432000E-04

0,1668005168.8614278,-1.26744000E-04

0,1668005169.3814278,-1.21592000E-04

0,1668005169.9114277,-1.22300000E-04

0,1668005170.431428,-1.21821000E-04

0,1668005170.9614277,-1.17470000E-04

0,1668005171.491428,-1.12860000E-04

0,1668005172.0114279,-1.07457000E-04

0,1668005172.5414276,-1.00650000E-04

0,1668005173.0614276,-8.92430000E-05

0,1668005173.5914278,-1.01327000E-04

0,1668005174.1114278,-1.15805000E-04

0,1668005174.642428,-1.14494000E-04

0,1668005175.162428,-1.11090000E-04

0,1668005175.6924279,-1.13099000E-04

0,1668005176.2124279,-1.06063000E-04

0,1668005176.7424278,-9.45820000E-05

0,1668005177.2624278,-9.73510000E-05

0,1668005177.7924278,-1.01369000E-04

0,1668005178.3124278,-1.02805000E-04

0,1668005178.842428,-1.00099000E-04

0,1668005179.362428,-9.94530000E-05

0,1668005179.8924277,-1.02128000E-04

0,1668005180.4124277,-1.01181000E-04

0,1668005180.9424279,-9.53110000E-05

0,1668005181.4624279,-9.83600000E-05

0,1668005181.9934278,-1.01826000E-04

0,1668005182.5234277,-9.87350000E-05

0,1668005183.043428,-9.53730000E-05

0,1668005183.5734277,-8.84000000E-05

0,1668005184.0934277,-7.97290000E-05

0,1668005184.6234279,-7.96150000E-05

0,1668005185.1434278,-7.38800000E-05

0,1668005185.6704278,-6.82280000E-05

0,1668005186.2004278,-6.83740000E-05

0,1668005186.730428,-6.57300000E-05

0,1668005187.250428,-6.59800000E-05

0,1668005187.7804277,-6.00990000E-05

0,1668005188.3004277,-6.34710000E-05

0,1668005188.830428,-6.77800000E-05

0,1668005189.3554277,-6.87900000E-05

0,1668005189.8854277,-7.85630000E-05

0,1668005190.4054277,-7.94690000E-05

0,1668005190.935428,-7.71170000E-05

0,1668005191.455428,-7.73140000E-05

0,1668005191.9854276,-7.82300000E-05

0,1668005192.5154278,-7.55140000E-05

0,1668005193.0364277,-7.92920000E-05

0,1668005193.566428,-8.07910000E-05

0,1668005194.086428,-8.27060000E-05

0,1668005194.618428,-8.43920000E-05

0,1668005195.138428,-8.47250000E-05

0,1668005195.662428,-8.44440000E-05

0,1668005196.1924279,-8.50690000E-05

0,1668005196.7224278,-8.49860000E-05

0,1668005197.2424278,-8.05830000E-05

0,1668005197.767428,-7.78450000E-05

0,1668005198.2974277,-7.63980000E-05

0,1668005198.8174276,-8.15920000E-05

0,1668005199.3474278,-8.45280000E-05

0,1668005199.8674278,-8.58080000E-05

0,1668005200.3914278,-8.45380000E-05

0,1668005200.9214277,-8.41530000E-05

0,1668005201.4414277,-8.49020000E-05

0,1668005201.971428,-8.25920000E-05

0,1668005202.491428,-8.01040000E-05

0,1668005203.0204277,-8.05930000E-05

0,1668005203.5404277,-8.28730000E-05

0,1668005204.070428,-8.24350000E-05

0,1668005204.5904279,-8.05410000E-05

0,1668005205.1204278,-7.93750000E-05

0,1668005205.6504278,-7.91880000E-05

0,1668005206.1704278,-7.47120000E-05

0,1668005206.7004278,-7.55970000E-05

0,1668005207.2204278,-7.81780000E-05

0,1668005207.750428,-7.84800000E-05

0,1668005208.270428,-7.38280000E-05

0,1668005208.8004277,-7.35360000E-05

0,1668005209.320428,-7.64090000E-05

0,1668005209.8504279,-7.81680000E-05

0,1668005210.3704278,-7.68460000E-05

0,1668005210.9004278,-7.42750000E-05

0,1668005211.4274278,-7.27970000E-05

0,1668005211.9474277,-7.52540000E-05

0,1668005212.4774277,-7.47230000E-05

0,1668005212.9974277,-7.13920000E-05

0,1668005213.527428,-6.89360000E-05

0,1668005214.047428,-6.53240000E-05

0,1668005214.5774276,-6.51260000E-05

0,1668005215.0974276,-6.56050000E-05

0,1668005215.6284277,-6.50640000E-05

0,1668005216.1484277,-6.64900000E-05

0,1668005216.678428,-6.63960000E-05

0,1668005217.198428,-6.60420000E-05

0,1668005217.728428,-6.44700000E-05

0,1668005218.2484279,-6.40330000E-05

0,1668005218.7784278,-6.34290000E-05

0,1668005219.3084278,-6.14830000E-05

0,1668005219.8284278,-6.25970000E-05

0,1668005220.358428,-6.42930000E-05

0,1668005220.878428,-6.55010000E-05

0,1668005221.4084277,-6.51160000E-05

0,1668005221.9284277,-6.71250000E-05

0,1668005222.4624279,-6.81030000E-05

0,1668005222.9824278,-6.89460000E-05

0,1668005223.5134277,-6.96430000E-05

0,1668005224.0334277,-6.18270000E-05

0,1668005224.563428,-6.51050000E-05

0,1668005225.0934277,-5.78510000E-05

0,1668005225.6134276,-6.16290000E-05

0,1668005226.1434278,-6.21910000E-05

0,1668005226.6634278,-6.20350000E-05

0,1668005227.190428,-6.09520000E-05

0,1668005227.7204278,-5.97660000E-05

0,1668005228.2444277,-6.06610000E-05

0,1668005228.766428,-5.67990000E-05

0,1668005229.2964277,-5.31560000E-05

0,1668005229.826428,-5.20950000E-05

0,1668005230.346428,-4.26850000E-05

0,1668005230.876428,-4.08740000E-05

0,1668005231.3964279,-4.10720000E-05

0,1668005231.9264278,-3.99580000E-05

0,1668005232.4564278,-3.96250000E-05

0,1668005232.9764278,-3.66900000E-05

0,1668005233.506428,-3.67630000E-05

0,1668005234.026428,-3.33380000E-05

0,1668005234.5564277,-4.19150000E-05

0,1668005235.0764277,-3.94070000E-05

0,1668005235.6074278,-3.63150000E-05

0,1668005236.1274278,-3.77410000E-05

0,1668005236.6574278,-3.85430000E-05

0,1668005237.1774278,-3.73670000E-05

0,1668005237.7074277,-2.99040000E-05

0,1668005238.2274277,-3.09240000E-05

0,1668005238.7574277,-2.63130000E-05

0,1668005239.287428,-2.22010000E-05

0,1668005239.807428,-2.78430000E-05

0,1668005240.3374276,-3.11210000E-05

0,1668005240.8574276,-3.19230000E-05

0,1668005241.3874278,-2.90500000E-05

0,1668005241.9074278,-2.79050000E-05

0,1668005242.4374278,-1.81000000E-05

0,1668005242.9574277,-2.04840000E-05

0,1668005243.487428,-2.68850000E-05

0,1668005244.0084279,-1.81110000E-05

0,1668005244.5384278,-1.77050000E-05

