i,t_v,Resistencia(Ohms)
0,1668616770.1621091,+1.38182190E+02
0,1668616770.6015627,+1.38198010E+02
0,1668616771.0429685,+1.38165340E+02
0,1668616771.4833984,+1.38161700E+02
0,1668616771.9228516,+1.38178450E+02
0,1668616772.3671875,+1.38232540E+02
0,1668616772.7998047,+1.38212360E+02
0,1668616773.2382812,+1.38205700E+02
0,1668616773.6796875,+1.38224430E+02
0,1668616774.118164,+1.38251060E+02
0,1668616774.55957,+1.38269680E+02
0,1668616774.9980466,+1.38281850E+02
0,1668616775.4384766,+1.38281640E+02
0,1668616775.878906,+1.38291320E+02
0,1668616776.3183594,+1.38296200E+02
0,1668616776.758789,+1.38306710E+02
0,1668616777.1972656,+1.38309830E+02
0,1668616777.6367185,+1.38313890E+02
0,1668616778.0761719,+1.38318470E+02
0,1668616778.5195312,+1.38320340E+02
0,1668616778.9570312,+1.38327200E+02
0,1668616779.3945312,+1.38333240E+02
0,1668616779.8320312,+1.38343330E+02
0,1668616780.2714844,+1.38344990E+02
0,1668616780.7089844,+1.38343220E+02
0,1668616781.1494138,+1.38359140E+02
0,1668616781.5908203,+1.38370580E+02
0,1668616782.03125,+1.38387540E+02
0,1668616782.4716794,+1.38394400E+02
0,1668616782.9111326,+1.38397630E+02
0,1668616783.3525388,+1.38394200E+02
0,1668616783.791992,+1.38414270E+02
0,1668616784.2324219,+1.38417710E+02
0,1668616784.6708984,+1.38417710E+02
0,1668616785.1074216,+1.38424260E+02
0,1668616785.5458984,+1.38430810E+02
0,1668616785.984375,+1.38439860E+02
0,1668616786.4257812,+1.38439240E+02
0,1668616786.8623044,+1.38443500E+02
0,1668616787.305664,+1.38451300E+02
0,1668616787.7509766,+1.38463160E+02
0,1668616788.1923828,+1.38478870E+02
0,1668616788.6279297,+1.38482820E+02
0,1668616789.0673828,+1.38488440E+02
0,1668616789.5039062,+1.38498840E+02
0,1668616789.9433591,+1.38518710E+02
0,1668616790.378906,+1.38521000E+02
0,1668616790.821289,+1.38523190E+02
0,1668616791.258789,+1.38519130E+02
0,1668616791.6992188,+1.38513200E+02
0,1668616792.1494138,+1.38512890E+02
0,1668616792.5898438,+1.38508830E+02
0,1668616793.0273435,+1.38480540E+02
0,1668616793.4667969,+1.38505610E+02
0,1668616793.9111326,+1.38477000E+02
0,1668616794.3515625,+1.38562300E+02
0,1668616794.7910156,+1.38580820E+02
0,1668616795.2314453,+1.38579670E+02
0,1668616795.6728516,+1.38578530E+02
0,1668616796.1132812,+1.38595170E+02
0,1668616796.5556638,+1.38605050E+02
0,1668616796.995117,+1.38616180E+02
0,1668616797.4345703,+1.38599540E+02
0,1668616797.8730469,+1.38608800E+02
0,1668616798.3115234,+1.38608590E+02
0,1668616798.7500002,+1.38607760E+02
0,1668616799.1904297,+1.38631580E+02
0,1668616799.6308594,+1.38645930E+02
0,1668616800.0732422,+1.38644270E+02
0,1668616800.5146484,+1.38647390E+02
0,1668616800.9501953,+1.38629600E+02
0,1668616801.3896484,+1.38634800E+02
0,1668616801.8291016,+1.38652490E+02
0,1668616802.2685544,+1.38656130E+02
0,1668616802.709961,+1.38650620E+02
0,1668616803.1494138,+1.38660500E+02
0,1668616803.5898438,+1.38669760E+02
0,1668616804.0283203,+1.38684940E+02
0,1668616804.4697266,+1.38683800E+02
0,1668616804.9052734,+1.38676100E+02
0,1668616805.3417969,+1.38679120E+02
0,1668616805.7832031,+1.38676210E+02
0,1668616806.2226562,+1.38681090E+02
0,1668616806.663086,+1.38691500E+02
0,1668616807.102539,+1.38692430E+02
0,1668616807.5429685,+1.38695760E+02
0,1668616807.984375,+1.38697010E+02
0,1668616808.4228516,+1.38692750E+02
0,1668616808.8632812,+1.38693580E+02
0,1668616809.3017578,+1.38694200E+02
0,1668616809.7382812,+1.38690670E+02
0,1668616810.1835938,+1.38695970E+02
0,1668616810.6220703,+1.38698260E+02
0,1668616811.05957,+1.38697840E+02
0,1668616811.4970703,+1.38708140E+02
0,1668616811.9375,+1.38707520E+02
0,1668616812.3759766,+1.38708770E+02
0,1668616812.8203125,+1.38713650E+02
0,1668616813.2617188,+1.38715110E+02
0,1668616813.7021484,+1.38717400E+02
0,1668616814.1464841,+1.38714490E+02
0,1668616814.584961,+1.38715630E+02
0,1668616815.0253906,+1.38715210E+02
0,1668616815.4638672,+1.38714590E+02
0,1668616815.9033203,+1.38718440E+02
0,1668616816.3457031,+1.38714900E+02
0,1668616816.7861328,+1.38718020E+02
0,1668616817.2236328,+1.38720520E+02
0,1668616817.665039,+1.38725200E+02
0,1668616818.1035156,+1.38723540E+02
0,1668616818.5429685,+1.38722080E+02
0,1668616818.9824219,+1.38720830E+02
0,1668616819.4248047,+1.38720000E+02
0,1668616819.8662107,+1.38715630E+02
0,1668616820.305664,+1.38731440E+02
0,1668616820.7441406,+1.38724470E+02
0,1668616821.1826172,+1.38729050E+02
0,1668616821.6269531,+1.38730300E+02
0,1668616822.0615234,+1.38729470E+02
0,1668616822.5,+1.38731650E+02
0,1668616822.9414062,+1.38733110E+02
0,1668616823.3847656,+1.38731960E+02
0,1668616823.8222656,+1.38734360E+02
0,1668616824.2636719,+1.38735710E+02
0,1668616824.709961,+1.38734880E+02
0,1668616825.147461,+1.38734560E+02
0,1668616825.5878906,+1.38737370E+02
0,1668616826.0292969,+1.38741430E+02
0,1668616826.4707031,+1.38741740E+02
0,1668616826.9091797,+1.38742160E+02
0,1668616827.3466794,+1.38742050E+02
0,1668616827.790039,+1.38742160E+02
0,1668616828.2333982,+1.38743300E+02
0,1668616828.6738281,+1.38744550E+02
0,1668616829.111328,+1.38747460E+02
0,1668616829.5527341,+1.38745690E+02
0,1668616829.9921875,+1.38748400E+02
0,1668616830.4306638,+1.38742050E+02
0,1668616830.8701172,+1.38740700E+02
0,1668616831.3115234,+1.38746420E+02
0,1668616831.7529294,+1.38743410E+02
0,1668616832.1953125,+1.38747250E+02
0,1668616832.6347656,+1.38746530E+02
0,1668616833.078125,+1.38744760E+02
0,1668616833.517578,+1.38742470E+02
0,1668616833.9580078,+1.38745380E+02
0,1668616834.3935547,+1.38748190E+02
0,1668616834.8320312,+1.38747460E+02
0,1668616835.2705078,+1.38746320E+02
0,1668616835.709961,+1.38746320E+02
0,1668616836.1503906,+1.38751310E+02
0,1668616836.5888672,+1.38746420E+02
0,1668616837.0302732,+1.38745380E+02
0,1668616837.4667969,+1.38749960E+02
0,1668616837.9111326,+1.38752980E+02
0,1668616838.3496091,+1.38750900E+02
0,1668616838.785156,+1.38749340E+02
0,1668616839.227539,+1.38747250E+02
0,1668616839.665039,+1.38754430E+02
0,1668616840.1035156,+1.38755680E+02
0,1668616840.5429685,+1.38748920E+02
0,1668616840.9824219,+1.38748400E+02
0,1668616841.4257812,+1.38749960E+02
0,1668616841.8642578,+1.38750790E+02
0,1668616842.2998047,+1.38754220E+02
0,1668616842.7363281,+1.38755890E+02
0,1668616843.1787107,+1.38754120E+02
0,1668616843.618164,+1.38751620E+02
0,1668616844.0585938,+1.38751420E+02
0,1668616844.5,+1.38754220E+02
0,1668616844.9414062,+1.38755260E+02
0,1668616845.383789,+1.38750380E+02
0,1668616845.8242185,+1.38755780E+02
0,1668616846.2636719,+1.38759430E+02
0,1668616846.7060547,+1.38759950E+02
0,1668616847.147461,+1.38757240E+02
0,1668616847.586914,+1.38756620E+02
0,1668616848.0205078,+1.38761710E+02
0,1668616848.4638672,+1.38759430E+02
0,1668616848.9033203,+1.38756100E+02
