i,t_v,tensión(V)
0,1668609293.2636719,+1.07369580E+02
0,1668609293.7001953,+1.07375510E+02
0,1668609294.1445312,+1.07387270E+02
0,1668609294.582031,+1.07405370E+02
0,1668609295.0234375,+1.07421490E+02
0,1668609295.4609375,+1.07418890E+02
0,1668609295.901367,+1.07409010E+02
0,1668609296.3398435,+1.07408490E+02
0,1668609296.7773438,+1.07410360E+02
0,1668609297.2216797,+1.07407970E+02
0,1668609297.6621091,+1.07401930E+02
0,1668609298.100586,+1.07399540E+02
0,1668609298.5439453,+1.07397360E+02
0,1668609298.9824219,+1.07393400E+02
0,1668609299.4228516,+1.07365000E+02
0,1668609299.8623044,+1.07342950E+02
0,1668609300.303711,+1.07320900E+02
0,1668609300.7441406,+1.07303530E+02
0,1668609301.1826172,+1.07293120E+02
0,1668609301.6230469,+1.07284490E+02
0,1668609302.0634766,+1.07296870E+02
0,1668609302.5048826,+1.07297280E+02
0,1668609302.9404294,+1.07302070E+02
0,1668609303.3828125,+1.07317570E+02
0,1668609303.821289,+1.07314760E+02
0,1668609304.2597654,+1.07270860E+02
0,1668609304.7001953,+1.07228420E+02
0,1668609305.1396484,+1.07198040E+02
0,1668609305.5791013,+1.07186710E+02
0,1668609306.0205078,+1.07197940E+02
0,1668609306.459961,+1.07199400E+02
0,1668609306.9003906,+1.07175680E+02
0,1668609307.3408203,+1.07164860E+02
0,1668609307.7783203,+1.07153730E+02
0,1668609308.213867,+1.07142180E+02
0,1668609308.6494138,+1.07053550E+02
0,1668609309.0859375,+1.07004460E+02
0,1668609309.5283203,+1.07011740E+02
0,1668609309.9677734,+1.07032130E+02
0,1668609310.4111328,+1.07053550E+02
0,1668609310.850586,+1.07072180E+02
0,1668609311.288086,+1.07090280E+02
0,1668609311.7314453,+1.07104010E+02
0,1668609312.1748044,+1.07114310E+02
0,1668609312.6152344,+1.07110250E+02
0,1668609313.0546875,+1.07098600E+02
0,1668609313.4941406,+1.07085390E+02
0,1668609313.9335935,+1.07063650E+02
0,1668609314.3759766,+1.07077690E+02
0,1668609314.8164062,+1.07075090E+02
0,1668609315.2548828,+1.07084760E+02
0,1668609315.6933594,+1.07101300E+02
0,1668609316.1328125,+1.07104010E+02
0,1668609316.571289,+1.07090800E+02
0,1668609317.015625,+1.07067810E+02
0,1668609317.4501953,+1.07044710E+02
0,1668609317.890625,+1.07026720E+02
0,1668609318.3291016,+1.07009970E+02
0,1668609318.7666016,+1.06991660E+02
0,1668609319.2080076,+1.06977100E+02
0,1668609319.6503906,+1.06971380E+02
0,1668609320.0908203,+1.06980430E+02
0,1668609320.5283203,+1.06992180E+02
0,1668609320.9667969,+1.06997170E+02
0,1668609321.4052734,+1.07000500E+02
0,1668609321.8447266,+1.06995410E+02
0,1668609322.2841797,+1.06982190E+02
0,1668609322.7265625,+1.06969610E+02
0,1668609323.1679688,+1.06963160E+02
