i,t_v,tensión(V)
0,1668001044.151795,-1.79328000E-04

0,1668001044.6817896,-1.79193000E-04

0,1668001045.2017844,-1.78516000E-04

0,1668001045.731779,-1.78797000E-04

0,1668001046.2517738,-1.78974000E-04

0,1668001046.7817688,-1.79495000E-04

0,1668001047.3007636,-1.79370000E-04

0,1668001047.8247585,-1.79203000E-04

0,1668001048.3547533,-1.78777000E-04

0,1668001048.879748,-1.78475000E-04

0,1668001049.399743,-1.77413000E-04

0,1668001049.9297378,-1.75633000E-04

0,1668001050.4497323,-1.73489000E-04

0,1668001050.979727,-1.71657000E-04

0,1668001051.499722,-1.69784000E-04

0,1668001052.0297165,-1.68920000E-04

0,1668001052.5497115,-1.69347000E-04

0,1668001053.0797062,-1.69576000E-04

0,1668001053.599701,-1.69086000E-04

0,1668001054.1296954,-1.68701000E-04

0,1668001054.6496904,-1.68774000E-04

0,1668001055.179685,-1.68732000E-04

0,1668001055.69968,-1.68587000E-04

0,1668001056.2296746,-1.69503000E-04

0,1668001056.7496693,-1.71220000E-04

0,1668001057.279664,-1.71782000E-04

0,1668001057.799659,-1.72105000E-04

0,1668001058.3296535,-1.72677000E-04

0,1668001058.8496485,-1.73406000E-04

0,1668001059.3796432,-1.73645000E-04

0,1668001059.899638,-1.74134000E-04

0,1668001060.4296324,-1.74915000E-04

0,1668001060.9596272,-1.76008000E-04

0,1668001061.4796221,-1.76039000E-04

0,1668001062.0096169,-1.75956000E-04

0,1668001062.5296116,-1.76362000E-04

0,1668001063.0596063,-1.76934000E-04

0,1668001063.579601,-1.75977000E-04

0,1668001064.109596,-1.74624000E-04

0,1668001064.6295905,-1.74509000E-04

0,1668001065.1595852,-1.74166000E-04

0,1668001065.6795802,-1.73864000E-04

0,1668001066.209575,-1.74551000E-04

0,1668001066.7395694,-1.74322000E-04

0,1668001067.2595644,-1.74363000E-04

0,1668001067.791559,-1.74353000E-04

0,1668001068.3115547,-1.74176000E-04

0,1668001068.8415544,-1.74166000E-04

0,1668001069.3615544,-1.73916000E-04

0,1668001069.8915546,-1.73957000E-04

0,1668001070.4115546,-1.73843000E-04

0,1668001070.9415545,-1.72948000E-04

0,1668001071.4665546,-1.72271000E-04

0,1668001071.9865546,-1.72375000E-04

0,1668001072.5165546,-1.71876000E-04

0,1668001073.0365546,-1.70877000E-04

0,1668001073.5665545,-1.70835000E-04

0,1668001074.0965545,-1.70096000E-04

0,1668001074.6165545,-1.70523000E-04

0,1668001075.1435544,-1.71699000E-04

0,1668001075.6735544,-1.72375000E-04

0,1668001076.1935544,-1.72136000E-04

0,1668001076.7235546,-1.71845000E-04

0,1668001077.2435546,-1.72240000E-04

0,1668001077.7735543,-1.72667000E-04

0,1668001078.2935545,-1.72063000E-04

0,1668001078.8235545,-1.71969000E-04

0,1668001079.3435545,-1.72875000E-04

0,1668001079.8735545,-1.73260000E-04

0,1668001080.3975544,-1.72937000E-04

0,1668001080.9175544,-1.72552000E-04

0,1668001081.4475546,-1.72636000E-04

0,1668001081.9675546,-1.72448000E-04

0,1668001082.4975545,-1.71564000E-04

0,1668001083.0175545,-1.68472000E-04

0,1668001083.5455544,-1.64611000E-04

0,1668001084.0535545,-1.60759000E-04

0,1668001084.5895545,-1.56929000E-04

0,1668001085.1215544,-1.54036000E-04

0,1668001085.6415544,-1.52329000E-04

0,1668001086.1715546,-1.51850000E-04

0,1668001086.6955545,-1.52110000E-04

0,1668001087.2155545,-1.53411000E-04

0,1668001087.7365544,-1.54535000E-04

0,1668001088.2695544,-1.55399000E-04

0,1668001088.7915545,-1.56534000E-04

0,1668001089.3115547,-1.57148000E-04

0,1668001089.8415544,-1.57044000E-04

0,1668001090.3675547,-1.57117000E-04

0,1668001090.8875546,-1.59573000E-04

0,1668001091.4205544,-7.88320000E-04

0,1668001091.9405544,-1.16987700E-03

0,1668001092.4705546,-1.08266400E-03

0,1668001092.9905546,-8.31661000E-04

0,1668001093.5155547,-1.10911200E-03

0,1668001094.0455544,-1.23028800E-03

0,1668001094.5655544,-8.50407000E-04

0,1668001095.0865545,-8.42413000E-04

0,1668001095.6155546,-9.35486000E-04

0,1668001096.1375544,-1.14559400E-03

0,1668001096.6695545,-1.01414500E-03

0,1668001097.1945546,-1.02561500E-03

0,1668001097.7145545,-6.03017000E-04

0,1668001098.2445545,-1.04395500E-03

0,1668001098.7645545,-1.09959900E-03

0,1668001099.2945547,-9.38671000E-04

0,1668001099.8145547,-8.94414000E-04

0,1668001100.3445544,-1.09365600E-03

0,1668001100.8645544,-7.33582000E-04

0,1668001101.3915546,-1.32549500E-03

0,1668001101.9115546,-1.59248400E-03

0,1668001102.4415545,-1.27428500E-03

0,1668001102.9535544,-1.05715300E-03

0,1668001103.4955544,-8.70662000E-04

0,1668001104.0155547,-1.07268300E-03

0,1668001104.5455544,-9.17177000E-04

0,1668001105.0675545,-7.03928000E-04

0,1668001105.5895545,-2.74608000E-04

0,1668001106.1215544,-1.04160300E-03

0,1668001106.6415544,-5.11797000E-04

0,1668001107.1645546,-9.50766000E-04

0,1668001107.6945546,-4.57329000E-04

0,1668001108.2155545,-5.67035000E-04

0,1668001108.7365544,-1.04370500E-03

0,1668001109.2665546,-7.68232000E-04

0,1668001109.7865546,-2.98141000E-04

0,1668001110.3165545,-5.04011000E-04

0,1668001110.8365545,-4.68071000E-04

0,1668001111.3665547,-4.89471000E-04

0,1668001111.8965545,+6.64438000E-04

0,1668001112.4205544,-5.64140000E-05

0,1668001112.9405544,-2.05235000E-04

0,1668001113.4705546,+2.65730000E-05

0,1668001113.9945545,-1.33021000E-04

0,1668001114.5145547,-1.81597000E-04

0,1668001115.0465546,-1.90351000E-04

0,1668001115.5665545,-2.82622000E-04

0,1668001116.0965545,-8.66610000E-05

0,1668001116.6205544,-4.00582000E-04

0,1668001117.1505547,-6.60630000E-05

0,1668001117.6725545,-4.47452000E-04

0,1668001118.1835546,-2.92916000E-04

0,1668001118.7095544,-7.56803000E-04

0,1668001119.2465546,-3.50840000E-04

0,1668001119.7765546,-2.48909000E-04

0,1668001120.2965546,+2.63960000E-05

0,1668001120.8265545,-7.02160000E-05

0,1668001121.3465545,+9.95990000E-05

0,1668001121.8765545,-2.36919000E-04

0,1668001122.4065547,-8.49650000E-05

0,1668001122.9265547,+2.70954000E-04

0,1668001123.4565544,-3.27400000E-04

0,1668001123.9785547,-3.81430000E-04

0,1668001124.4985547,-1.04668000E-04

0,1668001125.0285544,-1.23736000E-04

0,1668001125.5585546,+6.50840000E-05

0,1668001126.0785546,-2.99547000E-04

0,1668001126.6085546,+7.85320000E-05

0,1668001127.1285546,+5.65200000E-06

0,1668001127.6585546,+4.33720000E-05

0,1668001128.1785545,-9.46100000E-06

0,1668001128.7095544,+2.05570000E-05

0,1668001129.2305546,+1.88190000E-05

0,1668001129.7605546,+1.06060000E-05

0,1668001130.2805545,+1.17820000E-05

0,1668001130.8105547,+1.43430000E-05

0,1668001131.3385546,+1.37600000E-05

0,1668001131.8585546,+1.34690000E-05

0,1668001132.3885546,+1.37180000E-05

0,1668001132.9085546,+1.48220000E-05

0,1668001133.4385545,+1.54050000E-05

0,1668001133.9585545,+1.72360000E-05

0,1668001134.4825547,+1.90160000E-05

0,1668001135.0095544,+2.09320000E-05

0,1668001135.5365546,+2.36790000E-05

0,1668001136.0565546,+2.75410000E-05

0,1668001136.5865545,+3.09970000E-05

0,1668001137.1065545,+3.50040000E-05

0,1668001137.6365545,+4.11660000E-05

0,1668001138.1565545,+4.79420000E-05

0,1668001138.6865547,+5.37810000E-05

0,1668001139.2065547,+5.99010000E-05

0,1668001139.7365544,+6.77700000E-05

0,1668001140.2565546,+7.60340000E-05

0,1668001140.7765546,+8.21230000E-05

0,1668001141.3065546,+8.70780000E-05

0,1668001141.8265545,+9.23030000E-05

0,1668001142.3565545,+9.57270000E-05

0,1668001142.8765545,+9.73200000E-05

0,1668001143.4065547,+9.80170000E-05

0,1668001143.9265547,+9.89850000E-05

0,1668001144.4565544,+9.93910000E-05

0,1668001144.9765544,+9.91310000E-05

0,1668001145.5065546,+9.89850000E-05

0,1668001146.0265546,+9.91100000E-05

0,1668001146.5565546,+9.92660000E-05

0,1668001147.0765545,+9.94120000E-05

0,1668001147.6065545,+9.95370000E-05

0,1668001148.1265547,+9.95050000E-05

0,1668001148.6565545,+9.97030000E-05

0,1668001149.1735544,+1.00109000E-04

0,1668001149.7005546,+1.00963000E-04

0,1668001150.2305546,+1.01202000E-04

0,1668001150.7505546,+1.01421000E-04

0,1668001151.2805545,+1.02430000E-04

0,1668001151.8005545,+1.02836000E-04

0,1668001152.3305547,+1.02940000E-04

0,1668001152.8505547,+1.02909000E-04

0,1668001153.3785546,+1.03679000E-04

0,1668001153.9085546,+1.05240000E-04

0,1668001154.4285545,+1.06614000E-04

0,1668001154.9585545,+1.07614000E-04

0,1668001155.4785547,+1.09862000E-04

0,1668001155.9985547,+1.12839000E-04

0,1668001156.5285544,+1.15930000E-04

0,1668001157.0485544,+1.18667000E-04

0,1668001157.5785546,+1.22009000E-04

0,1668001158.0985546,+1.27348000E-04

0,1668001158.6285546,+1.33885000E-04

0,1668001159.1485546,+1.41795000E-04

0,1668001159.6785545,+1.49029000E-04

0,1668001160.1985545,+1.55940000E-04

0,1668001160.7285545,+1.62883000E-04

0,1668001161.2485545,+1.66828000E-04

0,1668001161.7785547,+1.68670000E-04

0,1668001162.2985547,+1.69482000E-04

0,1668001162.8285544,+1.70117000E-04

0,1668001163.3485546,+1.70845000E-04

0,1668001163.8785546,+1.70450000E-04

0,1668001164.3985546,+1.69690000E-04

0,1668001164.9185545,+1.69836000E-04

0,1668001165.4485545,+1.70783000E-04

0,1668001165.9685545,+1.71511000E-04

0,1668001166.4985547,+1.70949000E-04

0,1668001167.0185547,+1.71928000E-04

0,1668001167.5485544,+1.72646000E-04

0,1668001168.0685544,+1.74176000E-04

0,1668001168.5985546,+1.75227000E-04

0,1668001169.1185546,+1.75956000E-04

0,1668001169.6495545,+1.77569000E-04

0,1668001170.1695545,+1.79349000E-04

0,1668001170.6915545,+1.81087000E-04

0,1668001171.2215545,+1.82482000E-04

0,1668001171.7415545,+1.84147000E-04

0,1668001172.2715545,+1.86323000E-04

0,1668001172.7915545,+1.88894000E-04

0,1668001173.3215544,+1.90143000E-04

0,1668001173.8415544,+1.91132000E-04

0,1668001174.3715546,+1.91433000E-04

0,1668001174.8915546,+1.91943000E-04

0,1668001175.4215543,+1.90903000E-04

0,1668001175.9415545,+1.88956000E-04

0,1668001176.4715545,+1.87697000E-04

0,1668001176.9915545,+1.86385000E-04

0,1668001177.5215545,+1.85011000E-04

0,1668001178.0515544,+1.83408000E-04

0,1668001178.5715547,+1.82586000E-04

0,1668001179.1015544,+1.82628000E-04

0,1668001179.6215544,+1.82274000E-04

0,1668001180.1515546,+1.82961000E-04

0,1668001180.6715546,+1.84522000E-04

0,1668001181.2015545,+1.86094000E-04

0,1668001181.7215545,+1.88696000E-04

0,1668001182.2515545,+1.91985000E-04

0,1668001182.7715545,+1.95451000E-04

0,1668001183.3015544,+1.99760000E-04

0,1668001183.8315547,+2.06526000E-04

0,1668001184.3515546,+2.13354000E-04

0,1668001184.8815544,+2.18995000E-04

0,1668001185.4015543,+2.27301000E-04

0,1668001185.9315546,+2.33359000E-04

0,1668001186.4515545,+2.36544000E-04

0,1668001186.9815545,+2.42633000E-04

0,1668001187.5015545,+2.46817000E-04

0,1668001188.0315545,+2.48399000E-04

0,1668001188.5555546,+2.51345000E-04

0,1668001189.0855544,+2.55519000E-04

0,1668001189.6055543,+2.56653000E-04

0,1668001190.1355546,+2.58017000E-04

0,1668001190.6575544,+2.62086000E-04

0,1668001191.1875546,+2.63752000E-04

0,1668001191.7075546,+2.64584000E-04

0,1668001192.2375546,+2.67197000E-04

0,1668001192.7545545,+2.68873000E-04

0,1668001193.2845545,+2.68196000E-04

0,1668001193.8145547,+2.68613000E-04

0,1668001194.3345547,+2.68935000E-04

0,1668001194.8645544,+2.67103000E-04

0,1668001195.3905547,+2.65313000E-04

0,1668001195.9105546,+2.64616000E-04

0,1668001196.4405544,+2.63752000E-04

0,1668001196.9605546,+2.62003000E-04

0,1668001197.4905546,+2.60973000E-04

0,1668001198.0105546,+2.60973000E-04

0,1668001198.5405545,+2.60369000E-04

0,1668001199.0605545,+2.59453000E-04

0,1668001199.5905547,+2.59037000E-04

0,1668001200.1105547,+2.59724000E-04

0,1668001200.6305547,+2.60078000E-04

0,1668001201.1605544,+2.59307000E-04

0,1668001201.6845546,+2.59713000E-04

0,1668001202.2145545,+2.61285000E-04

0,1668001202.7345545,+2.61462000E-04

0,1668001203.2645545,+2.80593000E-04

0,1668001203.7845545,+2.40000000E-04

0,1668001204.3045545,+2.90897000E-04

0,1668001204.8345547,+2.72786000E-04

0,1668001205.3545547,+3.38443000E-04

0,1668001205.8845544,+2.12250000E-04

0,1668001206.4045546,+2.18496000E-04

0,1668001206.9345546,+4.01019000E-04

0,1668001207.4585545,+2.53395000E-04

0,1668001207.9785547,+1.21301000E-04

0,1668001208.5085545,+2.29539000E-04

0,1668001209.0285544,+4.88773000E-04

0,1668001209.5585546,+4.72890000E-04

0,1668001210.0785546,+2.61712000E-04

0,1668001210.6095545,+2.11553000E-04

0,1668001211.1305547,+1.55300000E-05

0,1668001211.6605544,+1.63757000E-04

0,1668001212.1805544,+2.09346000E-04

0,1668001212.7105546,+2.59339000E-04

0,1668001213.2305546,+1.72823000E-04

0,1668001213.7605546,+2.16560000E-04

0,1668001214.2805545,+2.85703000E-04

0,1668001214.8105547,+3.53983000E-04

0,1668001215.3305547,+2.57132000E-04

0,1668001215.8605545,+3.24121000E-04

0,1668001216.3805544,+2.80010000E-04

0,1668001216.9105546,+3.65672000E-04

0,1668001217.4305546,+2.95664000E-04

0,1668001217.9605546,+2.67749000E-04

0,1668001218.4805546,+3.98656000E-04

0,1668001219.0105546,+3.16689000E-04

0,1668001219.5305545,+3.25911000E-04

0,1668001220.0605545,+3.11423000E-04

0,1668001220.5805545,+2.46578000E-04

0,1668001221.1005545,+2.07993000E-04

0,1668001221.6305547,+2.56861000E-04

0,1668001222.1505547,+3.75612000E-04

0,1668001222.6805544,+2.25834000E-04

0,1668001223.2095544,+2.44017000E-04

0,1668001223.7295544,+2.78990000E-04

0,1668001224.2595546,+2.84486000E-04

0,1668001224.7795546,+3.14535000E-04

0,1668001225.3095543,+2.34212000E-04

0,1668001225.8295543,+2.22024000E-04

0,1668001226.3495545,+2.56164000E-04

0,1668001226.8795545,+2.41967000E-04

0,1668001227.3995545,+3.29013000E-04

0,1668001227.9295545,+2.45308000E-04

0,1668001228.4495544,+2.54915000E-04

0,1668001228.9795547,+1.84147000E-04

0,1668001229.4995546,+2.27676000E-04

0,1668001230.0295544,+2.69227000E-04

0,1668001230.5495543,+2.67030000E-04

0,1668001231.0735545,+2.21910000E-04

0,1668001231.6045544,+1.95191000E-04

0,1668001232.1245544,+4.18370000E-04

0,1668001232.6545546,+2.94249000E-04

0,1668001233.1745546,+2.74941000E-04

0,1668001233.6985545,+2.11501000E-04

0,1668001234.2285545,+3.42846000E-04

0,1668001234.7495544,+3.31126000E-04

0,1668001235.2795546,+2.34264000E-04

0,1668001235.7995546,+2.26573000E-04

0,1668001236.3295543,+2.75368000E-04

0,1668001236.8495545,+3.64371000E-04

0,1668001237.3835545,+2.56518000E-04

0,1668001237.9035547,+2.73380000E-04

0,1668001238.4335544,+2.96237000E-04

0,1668001238.9535544,+1.99032000E-04

0,1668001239.4775543,+2.78251000E-04

0,1668001240.0075545,+4.56455000E-04

0,1668001240.5275545,+2.52885000E-04

0,1668001241.0575545,+3.47457000E-04

0,1668001241.5775545,+2.69164000E-04

0,1668001242.1075547,+3.60468000E-04

0,1668001242.6275547,+3.97428000E-04

0,1668001243.1575544,+3.43939000E-04

0,1668001243.6875546,+4.32390000E-04

0,1668001244.2075546,+3.20114000E-04

0,1668001244.7375546,+1.89664000E-04

0,1668001245.2575545,+2.86328000E-04

0,1668001245.7875545,+3.29242000E-04

0,1668001246.3075545,+2.70424000E-04

0,1668001246.8375545,+3.45854000E-04

0,1668001247.3575544,+3.45105000E-04

0,1668001247.8875546,+3.71917000E-04

0,1668001248.4175544,+3.54618000E-04

0,1668001248.9375544,+2.68758000E-04

0,1668001249.4675546,+3.26140000E-04

0,1668001249.9875546,+3.22362000E-04

0,1668001250.5175545,+3.15721000E-04

0,1668001251.0375545,+3.23871000E-04

0,1668001251.5675545,+4.00759000E-04

0,1668001252.0895545,+3.24142000E-04

0,1668001252.6195545,+3.28274000E-04

0,1668001253.1395545,+3.42555000E-04

0,1668001253.6695545,+2.77918000E-04

0,1668001254.1895545,+3.64079000E-04

0,1668001254.7195547,+4.90907000E-04

0,1668001255.2465546,+3.59562000E-04

0,1668001255.7665546,+3.55555000E-04

0,1668001256.2965546,+4.16955000E-04

0,1668001256.8165545,+2.99599000E-04

0,1668001257.3465545,+3.34040000E-04

0,1668001257.8665547,+3.73541000E-04

0,1668001258.3915546,+2.83497000E-04

0,1668001258.9215543,+4.48180000E-04

0,1668001259.4425547,+3.69284000E-04

0,1668001259.9725544,+4.19328000E-04

0,1668001260.4925544,+3.42544000E-04

0,1668001261.0225546,+4.00905000E-04

0,1668001261.5425546,+4.29570000E-04

0,1668001262.0725546,+3.77902000E-04

0,1668001262.5925546,+3.69346000E-04

0,1668001263.1125546,+4.62367000E-04

0,1668001263.6425545,+3.80806000E-04

0,1668001264.1625547,+4.66895000E-04

0,1668001264.6925545,+3.96252000E-04

0,1668001265.2125545,+4.96590000E-04

0,1668001265.7425547,+4.41821000E-04

0,1668001266.2625546,+4.61982000E-04

0,1668001266.7925544,+4.29122000E-04

0,1668001267.3125546,+4.59765000E-04

0,1668001267.8425546,+3.28232000E-04
