i,t_v,Resistencia(Ohms)
0,1669216012.0976562,+1.25049680E+02
0,1669216012.5371091,+1.25048850E+02
0,1669216012.9736328,+1.25055090E+02
0,1669216013.413086,+1.25053740E+02
0,1669216013.8525388,+1.25051760E+02
0,1669216014.291992,+1.25046560E+02
0,1669216014.7294922,+1.25041780E+02
0,1669216015.1679688,+1.25043650E+02
0,1669216015.6142578,+1.25015140E+02
0,1669216016.0498044,+1.25011190E+02
0,1669216016.491211,+1.25003180E+02
0,1669216016.9326172,+1.24990180E+02
0,1669216017.3730469,+1.24979980E+02
0,1669216017.8154297,+1.24974780E+02
0,1669216018.2558591,+1.24984980E+02
0,1669216018.698242,+1.24988830E+02
0,1669216019.1337888,+1.24989970E+02
0,1669216019.5751953,+1.24986950E+02
0,1669216020.0126953,+1.24978220E+02
0,1669216020.4541016,+1.24967610E+02
0,1669216020.8935547,+1.24955330E+02
0,1669216021.3330078,+1.24953560E+02
0,1669216021.7734375,+1.24957720E+02
0,1669216022.2158203,+1.24966670E+02
0,1669216022.65625,+1.24975200E+02
0,1669216023.0947263,+1.24982480E+02
0,1669216023.5322266,+1.24987470E+02
0,1669216023.972656,+1.24987890E+02
0,1669216024.4111328,+1.24993300E+02
0,1669216024.8496091,+1.24998400E+02
0,1669216025.2929688,+1.25001930E+02
0,1669216025.734375,+1.24997770E+02
0,1669216026.1748044,+1.24988930E+02
0,1669216026.616211,+1.24974060E+02
0,1669216027.0517578,+1.24958970E+02
0,1669216027.488281,+1.24947950E+02
0,1669216027.9296875,+1.24941910E+02
0,1669216028.3691404,+1.24940660E+02
0,1669216028.8125,+1.24943580E+02
0,1669216029.2490234,+1.24949300E+02
0,1669216029.6865234,+1.24956680E+02
0,1669216030.1230469,+1.24961880E+02
0,1669216030.55957,+1.24965320E+02
0,1669216031.0,+1.24962510E+02
0,1669216031.4404294,+1.24947840E+02
0,1669216031.8818357,+1.24934530E+02
0,1669216032.321289,+1.24927240E+02
0,1669216032.7597654,+1.24922150E+02
0,1669216033.1992188,+1.24916010E+02
0,1669216033.6367185,+1.24908000E+02
0,1669216034.0800781,+1.24899370E+02
0,1669216034.5195312,+1.24890730E+02
0,1669216034.9589841,+1.24888230E+02
0,1669216035.397461,+1.24889170E+02
0,1669216035.8330078,+1.24891980E+02
0,1669216036.2705078,+1.24896040E+02
0,1669216036.709961,+1.24899680E+02
0,1669216037.1484375,+1.24902280E+02
0,1669216037.5878906,+1.24904670E+02
0,1669216038.0283203,+1.24902590E+02
0,1669216038.4638672,+1.24895520E+02
0,1669216038.90625,+1.24888130E+02
0,1669216039.3457031,+1.24877620E+02
0,1669216039.788086,+1.24871280E+02
0,1669216040.2285156,+1.24866600E+02
