i,t_v,Resistencia(Ohms)
0,1669221005.8935547,+1.23811690E+02
0,1669221006.334961,+1.23818550E+02
0,1669221006.7734375,+1.23833950E+02
0,1669221007.213867,+1.23887520E+02
0,1669221007.6542969,+1.23892620E+02
0,1669221008.0917966,+1.23889290E+02
0,1669221008.5332031,+1.23934020E+02
0,1669221008.9716794,+1.23937040E+02
0,1669221009.4111328,+1.23950870E+02
0,1669221009.8486328,+1.24002150E+02
0,1669221010.288086,+1.24031180E+02
0,1669221010.7304685,+1.24046990E+02
0,1669221011.165039,+1.24039190E+02
0,1669221011.6103516,+1.24091620E+02
0,1669221012.0507812,+1.24136970E+02
0,1669221012.493164,+1.24149140E+02
0,1669221012.9316406,+1.24121780E+02
0,1669221013.3701172,+1.24156840E+02
0,1669221013.8115234,+1.24441760E+02
0,1669221014.2470703,+1.24320780E+02
0,1669221014.691406,+1.24273970E+02
0,1669221015.1308594,+1.24306430E+02
0,1669221015.5722654,+1.24274070E+02
0,1669221016.0126953,+1.24577720E+02
0,1669221016.4531252,+1.24401090E+02
0,1669221016.8984373,+1.24339090E+02
0,1669221017.3398435,+1.24316720E+02
0,1669221017.7753906,+1.24298940E+02
0,1669221018.2089844,+1.24443740E+02
0,1669221018.6455078,+1.24445920E+02
0,1669221019.0839844,+1.24431980E+02
0,1669221019.524414,+1.24470680E+02
0,1669221019.9648438,+1.24604770E+02
0,1669221020.4052734,+1.24583340E+02
0,1669221020.8417969,+1.24604250E+02
0,1669221021.2783203,+1.24530810E+02
0,1669221021.7167969,+1.24575540E+02
0,1669221022.1542969,+1.24490650E+02
0,1669221022.59375,+1.24588230E+02
0,1669221023.0351562,+1.24548390E+02
0,1669221023.4716794,+1.24563680E+02
0,1669221023.9101562,+1.24571480E+02
0,1669221024.3457031,+1.24661570E+02
0,1669221024.7832031,+1.24668950E+02
0,1669221025.2226562,+1.24701930E+02
0,1669221025.6591794,+1.24727410E+02
0,1669221026.0976562,+1.24782130E+02
0,1669221026.5351562,+1.24777870E+02
0,1669221026.9755857,+1.24786400E+02
0,1669221027.413086,+1.24821450E+02
0,1669221027.8525388,+1.24887820E+02
0,1669221028.2910156,+1.24918920E+02
0,1669221028.7304685,+1.24929320E+02
0,1669221029.1679688,+1.24927040E+02
0,1669221029.609375,+1.24839970E+02
0,1669221030.0468748,+1.24848080E+02
0,1669221030.4853513,+1.24896760E+02
0,1669221030.9277344,+1.24966460E+02
0,1669221031.3671875,+1.25025030E+02
0,1669221031.807617,+1.24992160E+02
0,1669221032.2470703,+1.24997150E+02
0,1669221032.6884763,+1.24922040E+02
0,1669221033.1328125,+1.24944820E+02
0,1669221033.5732422,+1.24957720E+02
0,1669221034.0126953,+1.25019720E+02
0,1669221034.4531252,+1.25015770E+02
0,1669221034.8925781,+1.25031160E+02
0,1669221035.3378906,+1.25060080E+02
0,1669221035.7783203,+1.25064870E+02
0,1669221036.21875,+1.25065800E+02
0,1669221036.65625,+1.25121670E+02
0,1669221037.0966797,+1.25218200E+02
0,1669221037.538086,+1.25231830E+02
0,1669221037.977539,+1.25269690E+02
0,1669221038.416992,+1.25266470E+02
0,1669221038.859375,+1.25263970E+02
0,1669221039.2998047,+1.25249100E+02
0,1669221039.7392578,+1.25253360E+02
0,1669221040.1787107,+1.25269480E+02
0,1669221040.6191406,+1.25280100E+02
0,1669221041.0566406,+1.25290190E+02
0,1669221041.493164,+1.25388700E+02
0,1669221041.928711,+1.25420840E+02
0,1669221042.3691404,+1.25406380E+02
0,1669221042.8066406,+1.25439040E+02
0,1669221043.2431638,+1.25586450E+02
0,1669221043.6796875,+1.25642200E+02
0,1669221044.120117,+1.25600800E+02
0,1669221044.5566406,+1.25573860E+02
0,1669221044.9980466,+1.25532460E+02
0,1669221045.4394531,+1.25526630E+02
0,1669221045.875,+1.25566680E+02
0,1669221046.3105466,+1.25562310E+02
0,1669221046.7480469,+1.25609960E+02
0,1669221047.1855466,+1.25579480E+02
0,1669221047.625,+1.25576670E+02
0,1669221048.0664062,+1.25562110E+02
0,1669221048.510742,+1.25636270E+02
0,1669221048.9482422,+1.25681730E+02
0,1669221049.3867188,+1.25697340E+02
0,1669221049.8261719,+1.25731980E+02
0,1669221050.2646484,+1.25771610E+02
0,1669221050.7050781,+1.25888970E+02
0,1669221051.1484375,+1.25910090E+02
0,1669221051.5888672,+1.25902490E+02
0,1669221052.026367,+1.25998820E+02
0,1669221052.4638672,+1.25939840E+02
0,1669221052.9033203,+1.25978120E+02
0,1669221053.3457031,+1.25977600E+02
0,1669221053.785156,+1.26125940E+02
0,1669221054.2294922,+1.26398900E+02
0,1669221054.6689453,+1.26270640E+02
0,1669221055.104492,+1.26204160E+02
0,1669221055.5458984,+1.26146530E+02
0,1669221055.984375,+1.26277400E+02
0,1669221056.4228516,+1.26241610E+02
0,1669221056.8613281,+1.26189390E+02
0,1669221057.305664,+1.26201250E+02
0,1669221057.7451172,+1.26164950E+02
0,1669221058.1796875,+1.26245150E+02
0,1669221058.6230469,+1.26280100E+02
0,1669221059.0644531,+1.26257420E+02
0,1669221059.5058594,+1.26286340E+02
0,1669221059.9453125,+1.26308810E+02
0,1669221060.3886716,+1.26321610E+02
0,1669221060.828125,+1.26475880E+02
0,1669221061.2675781,+1.26420540E+02
0,1669221061.7089844,+1.26407840E+02
0,1669221062.147461,+1.26410550E+02
0,1669221062.586914,+1.26458090E+02
