i,t_v,Resistencia(Ohms)
0,1669217067.2978513,+1.21913450E+02
0,1669217067.734375,+1.22590750E+02
0,1669217068.1738281,+1.22687490E+02
0,1669217068.618164,+1.22711210E+02
0,1669217069.055664,+1.22776430E+02
0,1669217069.5009763,+1.21929780E+02
0,1669217069.9384766,+1.22792350E+02
0,1669217070.3798828,+1.22670330E+02
0,1669217070.8154297,+1.21909180E+02
0,1669217071.2548828,+1.21362220E+02
0,1669217071.6933594,+1.20846990E+02
0,1669217072.131836,+1.22108490E+02
0,1669217072.5693357,+1.22756150E+02
0,1669217073.0058594,+1.22802960E+02
0,1669217073.4462888,+1.22813260E+02
0,1669217073.8857422,+1.22817320E+02
0,1669217074.328125,+1.22807020E+02
0,1669217074.7685544,+1.22552780E+02
0,1669217075.2060547,+1.22628100E+02
0,1669217075.6425781,+1.22683750E+02
0,1669217076.0839844,+1.22675430E+02
0,1669217076.5234375,+1.22519390E+02
0,1669217076.959961,+1.22492030E+02
0,1669217077.4042966,+1.22430970E+02
0,1669217077.84375,+1.22403710E+02
0,1669217078.28125,+1.22390190E+02
0,1669217078.7236328,+1.22437520E+02
0,1669217079.1621091,+1.22419420E+02
0,1669217079.6015627,+1.22570880E+02
0,1669217080.0419922,+1.22233530E+02
0,1669217080.4814453,+1.20446080E+02
0,1669217080.916992,+1.20012190E+02
0,1669217081.356445,+1.19536390E+02
0,1669217081.796875,+1.19861880E+02
0,1669217082.2363281,+1.21487160E+02
0,1669217082.6748044,+1.21660250E+02
0,1669217083.1123047,+1.21699260E+02
0,1669217083.5517578,+1.20814950E+02
0,1669217083.9863281,+1.20975150E+02
0,1669217084.4277344,+1.21249880E+02
0,1669217084.8671875,+1.21545100E+02
0,1669217085.3066406,+1.21688650E+02
0,1669217085.7441406,+1.21907930E+02
0,1669217086.1855466,+1.22064180E+02
0,1669217086.625,+1.22140220E+02
0,1669217087.0615234,+1.22211580E+02
0,1669217087.5029297,+1.22573790E+02
0,1669217087.9433591,+1.22699040E+02
0,1669217088.3818357,+1.22695500E+02
0,1669217088.8183594,+1.21216590E+02
0,1669217089.2548828,+1.20518170E+02
0,1669217089.696289,+1.20097490E+02
0,1669217090.1337888,+1.19654450E+02
0,1669217090.5722654,+1.19986500E+02
0,1669217091.0117188,+1.19946140E+02
0,1669217091.4511719,+1.20188200E+02
0,1669217091.890625,+1.20302420E+02
0,1669217092.3271482,+1.20331030E+02
0,1669217092.765625,+1.20400410E+02
0,1669217093.2060547,+1.20188510E+02
0,1669217093.6494138,+1.20210460E+02
0,1669217094.0878906,+1.20308040E+02
0,1669217094.5292969,+1.20428600E+02
0,1669217094.9697266,+1.20537520E+02
0,1669217095.4082031,+1.20534290E+02
0,1669217095.8515625,+1.20250200E+02
0,1669217096.2890625,+1.20098950E+02
0,1669217096.7285156,+1.20151170E+02
0,1669217097.1669922,+1.20294930E+02
0,1669217097.6064453,+1.20522120E+02
0,1669217098.0439453,+1.20662240E+02
0,1669217098.4853513,+1.20561860E+02
0,1669217098.9267578,+1.20435570E+02
0,1669217099.3662107,+1.20004390E+02
0,1669217099.803711,+1.19924600E+02
0,1669217100.2431638,+1.19892250E+02
0,1669217100.6865234,+1.19714060E+02
0,1669217101.1259766,+1.19830050E+02
0,1669217101.5625,+1.19911710E+02
0,1669217102.0048826,+1.19617940E+02
0,1669217102.4414062,+1.19586940E+02
0,1669217102.883789,+1.19779180E+02
0,1669217103.3222656,+1.19507780E+02
0,1669217103.7636719,+1.18827250E+02
0,1669217104.198242,+1.18953120E+02
0,1669217104.6337888,+1.19278920E+02
0,1669217105.071289,+1.19147540E+02
0,1669217105.5078125,+1.18715630E+02
0,1669217105.944336,+1.18957800E+02
0,1669217106.3808594,+1.18784600E+02
0,1669217106.8203125,+1.18677040E+02
0,1669217107.2578125,+1.18544930E+02
0,1669217107.691406,+1.18531200E+02
0,1669217108.1269531,+1.18703670E+02
0,1669217108.5654294,+1.18834530E+02
0,1669217109.0058594,+1.19028230E+02
0,1669217109.4453125,+1.18988490E+02
0,1669217109.883789,+1.18673190E+02
0,1669217110.3242185,+1.18577180E+02
0,1669217110.7597654,+1.18394820E+02
0,1669217111.194336,+1.18355290E+02
0,1669217111.6289062,+1.18466490E+02
0,1669217112.0634766,+1.18398250E+02
0,1669217112.5019531,+1.18418330E+02
0,1669217112.9433591,+1.18791150E+02
0,1669217113.3779297,+1.18357060E+02
0,1669217113.8154297,+1.18509770E+02
0,1669217114.2548828,+1.18390660E+02
0,1669217114.694336,+1.18451620E+02
0,1669217115.1347656,+1.18550960E+02
0,1669217115.5751953,+1.18503420E+02
0,1669217116.0166016,+1.18480120E+02
0,1669217116.4550781,+1.18500200E+02
0,1669217116.8984373,+1.18536400E+02
0,1669217117.3359375,+1.18532030E+02
0,1669217117.7773438,+1.18409590E+02
0,1669217118.2177732,+1.18443710E+02
0,1669217118.6572266,+1.18493850E+02
0,1669217119.0957031,+1.18109480E+02
0,1669217119.5361328,+1.17800840E+02
0,1669217119.977539,+1.17726570E+02
0,1669217120.416992,+1.17815610E+02
0,1669217120.8554688,+1.18055390E+02
0,1669217121.2939453,+1.18082440E+02
0,1669217121.7304685,+1.18095540E+02
0,1669217122.171875,+1.18092110E+02
0,1669217122.6103516,+1.17974350E+02
0,1669217123.0527341,+1.17826220E+02
0,1669217123.4921875,+1.17285300E+02
0,1669217123.9306638,+1.17498440E+02
0,1669217124.368164,+1.17270000E+02
0,1669217124.805664,+1.16771210E+02
0,1669217125.2460938,+1.16816560E+02
0,1669217125.6845703,+1.17073190E+02
0,1669217126.1279297,+1.16898010E+02
0,1669217126.5673828,+1.16984980E+02
0,1669217127.0039062,+1.16961260E+02
0,1669217127.4453125,+1.17214980E+02
0,1669217127.8818357,+1.17159840E+02
0,1669217128.3251953,+1.17300380E+02
0,1669217128.7646484,+1.17467340E+02
0,1669217129.2080076,+1.17469940E+02
0,1669217129.6484375,+1.17398790E+02
0,1669217130.0888672,+1.17414910E+02
0,1669217130.5322266,+1.17424480E+02
0,1669217130.96875,+1.17239420E+02
0,1669217131.4121094,+1.17034390E+02
0,1669217131.850586,+1.17124470E+02
0,1669217132.290039,+1.17230580E+02
0,1669217132.7314453,+1.17253570E+02
0,1669217133.1679688,+1.16975090E+02
0,1669217133.6103516,+1.16941810E+02
0,1669217134.0458984,+1.16859840E+02
0,1669217134.4863281,+1.16945240E+02
0,1669217134.9228516,+1.17116150E+02
0,1669217135.3583984,+1.16782440E+02
0,1669217135.8027344,+1.16992150E+02
0,1669217136.2373047,+1.16844960E+02
0,1669217136.675781,+1.16862330E+02
0,1669217137.1142578,+1.17006930E+02
0,1669217137.5556638,+1.17025030E+02
0,1669217137.995117,+1.17019830E+02
0,1669217138.4375,+1.17012960E+02
0,1669217138.8769531,+1.17035120E+02
0,1669217139.3125,+1.17036680E+02
0,1669217139.7470703,+1.17038860E+02
0,1669217140.180664,+1.17061960E+02
0,1669217140.616211,+1.17016080E+02
0,1669217141.0527341,+1.16965110E+02
0,1669217141.491211,+1.17006200E+02
0,1669217141.9267578,+1.17037090E+02
0,1669217142.3642578,+1.16837570E+02
0,1669217142.7988281,+1.16807720E+02
0,1669217143.2382812,+1.16875230E+02
0,1669217143.6787107,+1.16720860E+02
0,1669217144.1171875,+1.16846420E+02
0,1669217144.5585938,+1.16859210E+02
0,1669217144.9970703,+1.16891040E+02
0,1669217145.4375,+1.16850270E+02
0,1669217145.8759766,+1.16832270E+02
0,1669217146.3164062,+1.16832580E+02
0,1669217146.7558591,+1.16810740E+02
0,1669217147.196289,+1.16770170E+02
0,1669217147.6308594,+1.16755080E+02
0,1669217148.0703125,+1.16818330E+02
0,1669217148.5078125,+1.16837990E+02
0,1669217148.9472656,+1.16852970E+02
0,1669217149.3857422,+1.16956270E+02
0,1669217149.828125,+1.16930360E+02
0,1669217150.2675781,+1.16908000E+02
0,1669217150.7080076,+1.16573770E+02
0,1669217151.147461,+1.16484100E+02
0,1669217151.5888672,+1.16504490E+02
0,1669217152.0283203,+1.16605080E+02
0,1669217152.4716794,+1.16733450E+02
0,1669217152.9101562,+1.16822080E+02
0,1669217153.3525388,+1.16865040E+02
0,1669217153.791992,+1.16913200E+02
0,1669217154.234375,+1.16970930E+02
0,1669217154.6689453,+1.16985390E+02
0,1669217155.111328,+1.16975300E+02
0,1669217155.5478516,+1.16882410E+02
0,1669217155.9873047,+1.16789200E+02
0,1669217156.4267578,+1.16743020E+02
0,1669217156.8671875,+1.16822280E+02
0,1669217157.3066406,+1.16816980E+02
0,1669217157.7441406,+1.16769650E+02
0,1669217158.1826172,+1.16758620E+02
0,1669217158.6210938,+1.16790140E+02
0,1669217159.0605469,+1.16843920E+02
0,1669217159.5,+1.16853280E+02
0,1669217159.9433591,+1.16849430E+02
0,1669217160.3818357,+1.16865970E+02
0,1669217160.8183594,+1.16861080E+02
0,1669217161.2578125,+1.16821870E+02
0,1669217161.6972656,+1.16797420E+02
0,1669217162.1376953,+1.16655640E+02
0,1669217162.5791013,+1.16659380E+02
0,1669217163.0185547,+1.16593950E+02
0,1669217163.4609375,+1.16599460E+02
0,1669217163.9023438,+1.16608410E+02
0,1669217164.3417969,+1.16613820E+02
0,1669217164.7841797,+1.16614030E+02
0,1669217165.2236328,+1.16629010E+02
0,1669217165.6640625,+1.16648560E+02
0,1669217166.1054688,+1.16680600E+02
0,1669217166.5449219,+1.16763720E+02
0,1669217166.9824219,+1.16762050E+02
0,1669217167.421875,+1.16742290E+02
0,1669217167.859375,+1.16716910E+02
0,1669217168.2988281,+1.16717320E+02
0,1669217168.7373047,+1.16705360E+02
0,1669217169.1796875,+1.16723980E+02
0,1669217169.6210938,+1.16601650E+02
0,1669217170.0615234,+1.16589790E+02
0,1669217170.5,+1.16605600E+02
0,1669217170.9355469,+1.16673320E+02
0,1669217171.3740234,+1.16633690E+02
0,1669217171.8125,+1.16587400E+02
0,1669217172.256836,+1.16612150E+02
0,1669217172.694336,+1.16610390E+02
0,1669217173.1337888,+1.16573460E+02
0,1669217173.5761719,+1.16655640E+02
0,1669217174.0136716,+1.16587710E+02
0,1669217174.4531252,+1.16614960E+02
0,1669217174.894531,+1.16595820E+02
0,1669217175.3378906,+1.16620480E+02
0,1669217175.7773438,+1.16571480E+02
0,1669217176.21875,+1.16563680E+02
0,1669217176.6621091,+1.16531120E+02
0,1669217177.102539,+1.16568980E+02
0,1669217177.5458984,+1.16743540E+02
0,1669217177.9863281,+1.16728870E+02
0,1669217178.4277344,+1.16620060E+02
0,1669217178.8652341,+1.16528520E+02
0,1669217179.3027344,+1.16550160E+02
0,1669217179.7421875,+1.16567940E+02
0,1669217180.1816406,+1.16578760E+02
0,1669217180.6230469,+1.16591760E+02
0,1669217181.0615234,+1.16570440E+02
0,1669217181.506836,+1.16592810E+02
0,1669217181.944336,+1.16582920E+02
0,1669217182.3818357,+1.16584480E+02
0,1669217182.8203125,+1.16640140E+02
0,1669217183.258789,+1.16614960E+02
0,1669217183.7001953,+1.16634100E+02
