i,t_v,tensión(V)
0,1668010778.9988093,+1.13538200E-03

0,1668010779.5288095,+1.13514200E-03

0,1668010780.0488095,+1.13495500E-03

0,1668010780.5788093,+1.13471500E-03

0,1668010781.0988092,+1.13461100E-03

0,1668010781.6288095,+1.13452800E-03

0,1668010782.1488094,+1.13398700E-03

0,1668010782.6788094,+1.13325800E-03

0,1668010783.1988094,+1.13277900E-03

0,1668010783.7288094,+1.13235300E-03

0,1668010784.2588093,+1.13141600E-03

0,1668010784.7788093,+1.13063500E-03

0,1668010785.3088095,+1.13000000E-03

0,1668010785.8288095,+1.12911600E-03

0,1668010786.3628094,+1.12868900E-03

0,1668010786.8878093,+1.12813700E-03

0,1668010787.4078093,+1.12766900E-03

0,1668010787.9378095,+1.12693000E-03

0,1668010788.4578094,+1.12677400E-03

0,1668010788.9878092,+1.12644100E-03

0,1668010789.5178094,+1.12645100E-03

0,1668010790.0378094,+1.12607600E-03

0,1668010790.5688095,+1.12643000E-03

0,1668010791.0888095,+1.12566000E-03

0,1668010791.6178093,+1.12589900E-03

0,1668010792.1418095,+1.12594100E-03

0,1668010792.6718092,+1.12650300E-03

0,1668010793.1938095,+1.12633700E-03

0,1668010793.7238092,+1.12679400E-03

0,1668010794.2438092,+1.12640900E-03

0,1668010794.7738094,+1.12698200E-03

0,1668010795.3038092,+1.12706500E-03

0,1668010795.8238094,+1.12706500E-03

0,1668010796.3538094,+1.12725200E-03

0,1668010796.8738093,+1.12737700E-03

0,1668010797.4038093,+1.12781500E-03

0,1668010797.9338095,+1.12772100E-03

0,1668010798.4538095,+1.12804400E-03

0,1668010798.9838092,+1.12801200E-03

0,1668010799.5098095,+1.12802300E-03

0,1668010800.0298095,+1.12831400E-03

0,1668010800.5598092,+1.12830400E-03

0,1668010801.0798092,+1.12854300E-03

0,1668010801.6098094,+1.12871000E-03

0,1668010802.1298094,+1.12876200E-03

0,1668010802.6598094,+1.12873000E-03

0,1668010803.1798093,+1.12868900E-03

0,1668010803.7098093,+1.12881400E-03

0,1668010804.2298095,+1.12868900E-03

