i,t_v,Resistencia(Ohms)
0,1669211464.2050781,+1.22288660E+02
0,1669211464.6494138,+1.21998960E+02
0,1669211465.0878906,+1.21719130E+02
0,1669211465.5292969,+1.21871730E+02
0,1669211465.96875,+1.22105060E+02
0,1669211466.40625,+1.21478110E+02
0,1669211466.8457031,+1.21969830E+02
0,1669211467.2841797,+1.21673460E+02
0,1669211467.7226562,+1.21738890E+02
0,1669211468.1611328,+1.21816080E+02
0,1669211468.6035156,+1.21645170E+02
0,1669211469.0400388,+1.21394050E+02
0,1669211469.477539,+1.21718920E+02
0,1669211469.916992,+1.22000930E+02
0,1669211470.356445,+1.21597010E+02
0,1669211470.796875,+1.21509310E+02
0,1669211471.2373047,+1.21738480E+02
0,1669211471.680664,+1.21650470E+02
0,1669211472.120117,+1.21599920E+02
0,1669211472.5556638,+1.21532090E+02
0,1669211472.995117,+1.21491210E+02
0,1669211473.4375,+1.21412570E+02
0,1669211473.8769531,+1.21345470E+02
0,1669211474.3173828,+1.21181840E+02
0,1669211474.756836,+1.21049730E+02
0,1669211475.196289,+1.21126290E+02
0,1669211475.6347656,+1.21162810E+02
0,1669211476.0771484,+1.21124940E+02
0,1669211476.517578,+1.21037460E+02
0,1669211476.9550781,+1.20917000E+02
0,1669211477.3964844,+1.20709990E+02
0,1669211477.8339844,+1.20651010E+02
0,1669211478.2753906,+1.20435990E+02
0,1669211478.713867,+1.20053590E+02
0,1669211479.1572266,+1.20257270E+02
0,1669211479.59375,+1.20616890E+02
0,1669211480.0351562,+1.20597850E+02
0,1669211480.4736328,+1.21154280E+02
0,1669211480.9140625,+1.21057330E+02
0,1669211481.3525388,+1.20712490E+02
0,1669211481.7890625,+1.20019160E+02
0,1669211482.2294922,+1.20485400E+02
0,1669211482.6679688,+1.20883400E+02
0,1669211483.104492,+1.20414560E+02
0,1669211483.5439453,+1.20320000E+02
0,1669211483.9873047,+1.20205050E+02
0,1669211484.4257812,+1.20379300E+02
0,1669211484.8632812,+1.20481450E+02
0,1669211485.3085938,+1.20423610E+02
0,1669211485.7480469,+1.20499860E+02
0,1669211486.1865234,+1.20513070E+02
0,1669211486.6279297,+1.20403840E+02
0,1669211487.0693357,+1.20100300E+02
0,1669211487.5126953,+1.20016560E+02
0,1669211487.9511719,+1.19950510E+02
0,1669211488.3916013,+1.19959760E+02
0,1669211488.8261719,+1.20031330E+02
0,1669211489.2666016,+1.19965490E+02
0,1669211489.7050781,+1.19873630E+02
0,1669211490.1445312,+1.19895480E+02
0,1669211490.5800781,+1.19824840E+02
0,1669211491.015625,+1.19863230E+02
0,1669211491.4570312,+1.19733820E+02
0,1669211491.8964844,+1.19718120E+02
0,1669211492.3378906,+1.19608160E+02
0,1669211492.774414,+1.19432880E+02
0,1669211493.213867,+1.19163560E+02
0,1669211493.65332,+1.19251360E+02
0,1669211494.0917966,+1.19794470E+02
0,1669211494.5341797,+1.19265400E+02
0,1669211494.9736328,+1.19848980E+02
0,1669211495.4082031,+1.19988790E+02
0,1669211495.84375,+1.20036740E+02
0,1669211496.285156,+1.20047670E+02
0,1669211496.7236328,+1.20000020E+02
0,1669211497.165039,+1.19856570E+02
0,1669211497.604492,+1.19683480E+02
0,1669211498.0419922,+1.19667770E+02
0,1669211498.4785156,+1.19608270E+02
