i,t_v,Resistencia(Ohms)
0,1669219205.4658203,+1.26508640E+02
0,1669219205.9111326,+1.26504790E+02
0,1669219206.350586,+1.26503230E+02
0,1669219206.7890625,+1.26497720E+02
0,1669219207.2304685,+1.26489920E+02
0,1669219207.6708984,+1.26484410E+02
0,1669219208.111328,+1.26481910E+02
0,1669219208.5527341,+1.26476400E+02
0,1669219208.993164,+1.26473590E+02
0,1669219209.4355469,+1.26472340E+02
0,1669219209.875,+1.26469430E+02
0,1669219210.314453,+1.26469010E+02
0,1669219210.7539062,+1.26471720E+02
0,1669219211.194336,+1.26473380E+02
0,1669219211.6328125,+1.26476080E+02
0,1669219212.0751953,+1.26477120E+02
0,1669219212.515625,+1.26476080E+02
0,1669219212.9521484,+1.26475360E+02
0,1669219213.3935547,+1.26467030E+02
0,1669219213.8339844,+1.26457360E+02
0,1669219214.2734375,+1.26449140E+02
0,1669219214.7128906,+1.26443320E+02
0,1669219215.1552734,+1.26436550E+02
0,1669219215.59375,+1.26423450E+02
0,1669219216.0322266,+1.26415440E+02
0,1669219216.472656,+1.26415540E+02
0,1669219216.9111326,+1.26413770E+02
0,1669219217.3525388,+1.26405660E+02
0,1669219217.7929688,+1.26393490E+02
0,1669219218.227539,+1.26382770E+02
0,1669219218.6660154,+1.26369670E+02
0,1669219219.104492,+1.26366440E+02
0,1669219219.5449219,+1.26363430E+02
0,1669219219.984375,+1.26361240E+02
0,1669219220.4238281,+1.26359060E+02
0,1669219220.8613281,+1.26354270E+02
0,1669219221.3017578,+1.26352710E+02
0,1669219221.7441406,+1.26344810E+02
0,1669219222.1796875,+1.26342000E+02
0,1669219222.620117,+1.26343660E+02
0,1669219223.0585938,+1.26345950E+02
0,1669219223.5019531,+1.26347200E+02
0,1669219223.944336,+1.26345430E+02
0,1669219224.3847656,+1.26346470E+02
0,1669219224.8251953,+1.26345430E+02
0,1669219225.2617188,+1.26339290E+02
0,1669219225.703125,+1.26335440E+02
0,1669219226.140625,+1.26331390E+02
0,1669219226.5800781,+1.26328890E+02
0,1669219227.0185547,+1.26328580E+02
0,1669219227.4589841,+1.26328790E+02
0,1669219227.8984373,+1.26329930E+02
0,1669219228.3369138,+1.26330240E+02
0,1669219228.7792969,+1.26330140E+02
0,1669219229.21875,+1.26331490E+02
0,1669219229.6591794,+1.26331800E+02
0,1669219230.0976562,+1.26331700E+02
0,1669219230.5390625,+1.26331700E+02
0,1669219230.9804688,+1.26330240E+02
0,1669219231.4179688,+1.26327950E+02
0,1669219231.8574219,+1.26322540E+02
0,1669219232.2949216,+1.26314430E+02
0,1669219232.7333984,+1.26306110E+02
0,1669219233.1738281,+1.26302470E+02
0,1669219233.618164,+1.26291860E+02
0,1669219234.0576172,+1.26285410E+02
0,1669219234.4990234,+1.26280310E+02
0,1669219234.9375,+1.26277190E+02
0,1669219235.375,+1.26274170E+02
0,1669219235.814453,+1.26272610E+02
0,1669219236.2558591,+1.26270950E+02
0,1669219236.6972656,+1.26271050E+02
0,1669219237.1357422,+1.26270220E+02
0,1669219237.5703125,+1.26272720E+02
0,1669219238.0126953,+1.26274590E+02
0,1669219238.4492188,+1.26275730E+02
0,1669219238.890625,+1.26277920E+02
0,1669219239.3300781,+1.26278330E+02
0,1669219239.7763672,+1.26279060E+02
0,1669219240.2148438,+1.26278650E+02
0,1669219240.6542969,+1.26277500E+02
0,1669219241.0927734,+1.26275630E+02
0,1669219241.53125,+1.26274280E+02
0,1669219241.9716794,+1.26274170E+02
0,1669219242.4082031,+1.26272720E+02
0,1669219242.8476562,+1.26270740E+02
0,1669219243.2822263,+1.26267830E+02
0,1669219243.71875,+1.26267410E+02
0,1669219244.1582031,+1.26265230E+02
0,1669219244.5966797,+1.26263350E+02
0,1669219245.0361328,+1.26262110E+02
0,1669219245.4765625,+1.26260860E+02
0,1669219245.915039,+1.26260130E+02
0,1669219246.3535156,+1.26259400E+02
0,1669219246.7939453,+1.26257320E+02
0,1669219247.2363281,+1.26256380E+02
0,1669219247.6728516,+1.26255760E+02
0,1669219248.1103516,+1.26254200E+02
0,1669219248.5546875,+1.26253990E+02
0,1669219248.995117,+1.26252850E+02
0,1669219249.4365234,+1.26250460E+02
0,1669219249.8759766,+1.26249410E+02
0,1669219250.3173828,+1.26249940E+02
0,1669219250.758789,+1.26247540E+02
