i,t_v,Resistencia(Ohms)
0,1669214750.4541016,+1.26623380E+02
0,1669214750.8955078,+1.26594460E+02
0,1669214751.3339844,+1.26592700E+02
0,1669214751.7763672,+1.26613290E+02
0,1669214752.2167966,+1.26634830E+02
0,1669214752.6572266,+1.26640230E+02
0,1669214753.0957031,+1.26646370E+02
0,1669214753.5361328,+1.26648760E+02
0,1669214753.9765625,+1.26650010E+02
0,1669214754.413086,+1.26649080E+02
0,1669214754.850586,+1.26654800E+02
0,1669214755.291992,+1.26635870E+02
0,1669214755.7324219,+1.26630560E+02
0,1669214756.1708984,+1.26622650E+02
0,1669214756.618164,+1.26620890E+02
0,1669214757.05957,+1.26614850E+02
0,1669214757.4970703,+1.26614020E+02
0,1669214757.9365234,+1.26614120E+02
0,1669214758.3730469,+1.26630770E+02
0,1669214758.8105466,+1.26619430E+02
0,1669214759.2499998,+1.26602270E+02
0,1669214759.6855466,+1.26568670E+02
0,1669214760.1269531,+1.26549420E+02
0,1669214760.5654294,+1.26549110E+02
0,1669214761.0048826,+1.26529030E+02
0,1669214761.4423828,+1.26534030E+02
0,1669214761.8828125,+1.26568040E+02
0,1669214762.321289,+1.26568670E+02
0,1669214762.7617188,+1.26555140E+02
0,1669214763.2011716,+1.26554210E+02
0,1669214763.6367185,+1.26557020E+02
0,1669214764.0751953,+1.26548590E+02
0,1669214764.5136716,+1.26549630E+02
0,1669214764.9531252,+1.26552850E+02
0,1669214765.3935547,+1.26549730E+02
0,1669214765.8339844,+1.26503960E+02
0,1669214766.2734375,+1.26475360E+02
0,1669214766.711914,+1.26479200E+02
0,1669214767.1523438,+1.26487210E+02
0,1669214767.59375,+1.26501470E+02
0,1669214768.0332031,+1.26486170E+02
0,1669214768.4755857,+1.26485130E+02
0,1669214768.915039,+1.26454660E+02
0,1669214769.3544922,+1.26438220E+02
0,1669214769.7939453,+1.26436760E+02
0,1669214770.2382812,+1.26486380E+02
0,1669214770.6767578,+1.26476400E+02
0,1669214771.1210938,+1.26484090E+02
0,1669214771.55957,+1.26488150E+02
0,1669214772.0019531,+1.26483470E+02
0,1669214772.4414062,+1.26492730E+02
0,1669214772.878906,+1.26510200E+02
0,1669214773.3183594,+1.26508120E+02
0,1669214773.756836,+1.26493770E+02
0,1669214774.1953125,+1.26496790E+02
0,1669214774.6367185,+1.26516240E+02
0,1669214775.0761719,+1.26521540E+02
0,1669214775.5195312,+1.26515610E+02
0,1669214775.959961,+1.26525600E+02
0,1669214776.401367,+1.26512390E+02
0,1669214776.8408203,+1.26518420E+02
0,1669214777.2802734,+1.26521750E+02
0,1669214777.713867,+1.26523210E+02
0,1669214778.1552734,+1.26516550E+02
0,1669214778.5986328,+1.26514990E+02
0,1669214779.0322266,+1.26504380E+02
0,1669214779.4716794,+1.26597270E+02
0,1669214779.9111326,+1.26579170E+02
0,1669214780.3476562,+1.26580210E+02
0,1669214780.785156,+1.26536940E+02
0,1669214781.2246094,+1.26516030E+02
0,1669214781.6621091,+1.26531740E+02
0,1669214782.100586,+1.26554620E+02
0,1669214782.5429685,+1.26556810E+02
0,1669214782.984375,+1.26553690E+02
0,1669214783.4248047,+1.26552850E+02
0,1669214783.8652341,+1.26552650E+02
0,1669214784.3095703,+1.26549530E+02
0,1669214784.7500002,+1.26545050E+02
0,1669214785.191406,+1.26530070E+02
0,1669214785.6367185,+1.26506360E+02
0,1669214786.0722656,+1.26470260E+02
0,1669214786.5117188,+1.26408160E+02
0,1669214786.9462888,+1.26438320E+02
0,1669214787.3867188,+1.26431870E+02
0,1669214787.8271482,+1.26425110E+02
0,1669214788.265625,+1.26398380E+02
0,1669214788.7050781,+1.26400460E+02
0,1669214789.140625,+1.26402120E+02
0,1669214789.5751953,+1.26403790E+02
0,1669214790.008789,+1.26414710E+02
0,1669214790.4423828,+1.26404200E+02
0,1669214790.8759766,+1.26412630E+02
0,1669214791.3115234,+1.26442690E+02
0,1669214791.7451172,+1.26472440E+02
0,1669214792.1796875,+1.26454550E+02
0,1669214792.6123047,+1.26449870E+02
0,1669214793.0468748,+1.26491480E+02
0,1669214793.4804688,+1.26486590E+02
0,1669214793.915039,+1.26415850E+02
0,1669214794.3486328,+1.26301740E+02
0,1669214794.7822263,+1.26418660E+02
0,1669214795.2167966,+1.26381840E+02
0,1669214795.6503906,+1.26424900E+02
0,1669214796.084961,+1.26443840E+02
0,1669214796.5195312,+1.26454760E+02
0,1669214796.9541016,+1.26451430E+02
0,1669214797.390625,+1.26448310E+02
0,1669214797.8251953,+1.26431870E+02
0,1669214798.2597654,+1.26417310E+02
0,1669214798.6933594,+1.26404720E+02
0,1669214799.1269531,+1.26407530E+02
0,1669214799.5605469,+1.26418970E+02
0,1669214799.995117,+1.26433230E+02
0,1669214800.428711,+1.26434680E+02
0,1669214800.8623044,+1.26440720E+02
0,1669214801.2958984,+1.26439680E+02
0,1669214801.7294922,+1.26439780E+02
0,1669214802.1640625,+1.26444770E+02
0,1669214802.5976562,+1.26446130E+02
0,1669214803.03125,+1.26440300E+02
0,1669214803.4667969,+1.26441650E+02
0,1669214803.9003906,+1.26439360E+02
0,1669214804.3388672,+1.26437700E+02
0,1669214804.78125,+1.26439990E+02
0,1669214805.220703,+1.26436030E+02
0,1669214805.6513672,+1.26432600E+02
0,1669214806.0927734,+1.26415440E+02
0,1669214806.5273435,+1.26406600E+02
0,1669214806.9609375,+1.26398270E+02
0,1669214807.3945312,+1.26396400E+02
0,1669214807.828125,+1.26396920E+02
0,1669214808.2626953,+1.26394740E+02
0,1669214808.698242,+1.26397440E+02
0,1669214809.1367185,+1.26397230E+02
0,1669214809.5771484,+1.26393700E+02
0,1669214810.0166016,+1.26394420E+02
0,1669214810.4560544,+1.26387980E+02
0,1669214810.8916013,+1.26387560E+02
0,1669214811.3398435,+1.26395050E+02
0,1669214811.7802734,+1.26396300E+02
0,1669214812.2197266,+1.26395780E+02
0,1669214812.6601562,+1.26393180E+02
0,1669214813.0976562,+1.26390780E+02
0,1669214813.5361328,+1.26386520E+02
0,1669214813.977539,+1.26387460E+02
0,1669214814.4189453,+1.26384130E+02
0,1669214814.8583984,+1.26377570E+02
0,1669214815.2978513,+1.26344490E+02
0,1669214815.7382812,+1.26367690E+02
0,1669214816.1796875,+1.26374560E+02
0,1669214816.620117,+1.26374970E+02
0,1669214817.0605469,+1.26375600E+02
0,1669214817.5039062,+1.26377990E+02
0,1669214817.944336,+1.26381530E+02
0,1669214818.3857422,+1.26377680E+02
0,1669214818.8251953,+1.26372060E+02
0,1669214819.2646484,+1.26357390E+02
0,1669214819.7021484,+1.26363630E+02
0,1669214820.1425781,+1.26368310E+02
0,1669214820.5830078,+1.26370400E+02
0,1669214821.0205078,+1.26369040E+02
0,1669214821.461914,+1.26367270E+02
0,1669214821.9033203,+1.26366230E+02
0,1669214822.3398435,+1.26369670E+02
0,1669214822.7822263,+1.26374660E+02
0,1669214823.2226562,+1.26375180E+02
0,1669214823.6640625,+1.26373720E+02
0,1669214824.0996094,+1.26373930E+02
0,1669214824.5390625,+1.26371640E+02
0,1669214824.977539,+1.26369980E+02
0,1669214825.416992,+1.26372270E+02
0,1669214825.8554688,+1.26373930E+02
0,1669214826.2958984,+1.26376640E+02
0,1669214826.7353516,+1.26376530E+02
0,1669214827.175781,+1.26379760E+02
0,1669214827.6152344,+1.26380280E+02
0,1669214828.053711,+1.26380590E+02
0,1669214828.4960938,+1.26377890E+02
0,1669214828.9355469,+1.26375280E+02
0,1669214829.378906,+1.26374040E+02
0,1669214829.8173828,+1.26369980E+02
0,1669214830.2548828,+1.26366030E+02
0,1669214830.696289,+1.26360930E+02
0,1669214831.1357422,+1.26355310E+02
0,1669214831.5761719,+1.26350630E+02
0,1669214832.015625,+1.26350110E+02
0,1669214832.4541016,+1.26356460E+02
0,1669214832.8955078,+1.26357180E+02
0,1669214833.3388672,+1.26358430E+02
0,1669214833.78125,+1.26349590E+02
0,1669214834.2177732,+1.26341790E+02
0,1669214834.6591794,+1.26341580E+02
0,1669214835.0996094,+1.26342720E+02
0,1669214835.538086,+1.26341060E+02
0,1669214835.977539,+1.26341680E+02
0,1669214836.4101562,+1.26341790E+02
0,1669214836.8525388,+1.26345120E+02
0,1669214837.288086,+1.26347090E+02
0,1669214837.7304685,+1.26347820E+02
0,1669214838.171875,+1.26347720E+02
0,1669214838.611328,+1.26346990E+02
0,1669214839.0517578,+1.26350210E+02
0,1669214839.488281,+1.26352090E+02
0,1669214839.9316406,+1.26352710E+02
0,1669214840.3701172,+1.26354790E+02
0,1669214840.807617,+1.26357290E+02
0,1669214841.2490234,+1.26360510E+02
0,1669214841.6875,+1.26360720E+02
0,1669214842.1259766,+1.26357700E+02
0,1669214842.5644531,+1.26352710E+02
0,1669214843.006836,+1.26349170E+02
0,1669214843.4472656,+1.26349380E+02
0,1669214843.8886716,+1.26347410E+02
0,1669214844.3339844,+1.26345430E+02
