i,t_v,tensión(V)
0,1668002382.7783918,-2.35212000E-04

0,1668002383.2983918,-2.34660000E-04

0,1668002383.830392,-2.34337000E-04

0,1668002384.3503919,-2.34660000E-04

0,1668002384.8723917,-2.35232000E-04

0,1668002385.402392,-2.35420000E-04

0,1668002385.9243917,-2.34587000E-04

0,1668002386.4543917,-2.34722000E-04

0,1668002386.9763918,-2.35108000E-04

0,1668002387.4963918,-2.35576000E-04

0,1668002388.0283916,-2.38064000E-04

0,1668002388.553392,-2.35919000E-04

0,1668002389.0753918,-2.30736000E-04

0,1668002389.5953918,-2.33817000E-04

0,1668002390.126392,-2.40686000E-04

0,1668002390.6563916,-2.34056000E-04

0,1668002391.1783917,-2.21972000E-04

0,1668002391.6993918,-2.27343000E-04

0,1668002392.2313917,-2.26083000E-04

0,1668002392.7513916,-2.14353000E-04

0,1668002393.2643917,-2.19078000E-04

0,1668002393.8043916,-2.20598000E-04

0,1668002394.3283918,-2.18735000E-04

0,1668002394.849392,-2.10606000E-04

0,1668002395.3793917,-1.89445000E-04

0,1668002395.9003916,-1.95347000E-04

0,1668002396.4303918,-1.88373000E-04

0,1668002396.9513917,-1.87343000E-04

0,1668002397.481392,-1.84668000E-04

0,1668002398.0023918,-1.78860000E-04

0,1668002398.5323918,-1.80432000E-04

0,1668002399.053392,-1.80931000E-04

0,1668002399.5833917,-1.80744000E-04

0,1668002400.1043916,-1.78204000E-04

0,1668002400.6343918,-1.77777000E-04

0,1668002401.1553917,-1.77611000E-04

0,1668002401.685392,-1.73687000E-04

0,1668002402.2133918,-1.69628000E-04

0,1668002402.737392,-1.58876000E-04

0,1668002403.2583919,-1.55888000E-04

0,1668002403.7883916,-1.55701000E-04

0,1668002404.309392,-1.58470000E-04

0,1668002404.8403916,-1.58865000E-04

0,1668002405.3603916,-1.56502000E-04

0,1668002405.8913918,-1.55420000E-04

0,1668002406.4113917,-1.56180000E-04

0,1668002406.9423919,-1.54160000E-04

0,1668002407.4623919,-1.46469000E-04

0,1668002407.993392,-1.53567000E-04

0,1668002408.513392,-1.56492000E-04

0,1668002409.0453918,-1.59802000E-04

0,1668002409.5653918,-1.58782000E-04

0,1668002410.0963917,-1.51714000E-04

0,1668002410.6163917,-1.51048000E-04

0,1668002411.1473918,-1.51756000E-04

0,1668002411.6683917,-1.45865000E-04

0,1668002412.1993918,-1.49050000E-04

0,1668002412.7193918,-1.50757000E-04

0,1668002413.2403917,-1.51277000E-04

0,1668002413.7703917,-1.50132000E-04

0,1668002414.2923918,-1.49008000E-04

0,1668002414.813392,-1.49144000E-04

0,1668002415.3433917,-1.48623000E-04

0,1668002415.8743918,-1.48634000E-04

0,1668002416.3943918,-1.48280000E-04

0,1668002416.9153917,-1.46947000E-04

0,1668002417.4463918,-1.46760000E-04

0,1668002417.9673917,-1.46916000E-04

0,1668002418.497392,-1.46385000E-04

0,1668002419.0183918,-1.45220000E-04

0,1668002419.5483916,-1.44366000E-04

0,1668002420.069392,-1.43804000E-04

0,1668002420.589392,-1.42191000E-04

0,1668002421.1213918,-1.43315000E-04

0,1668002421.6413918,-1.44522000E-04

0,1668002422.1733918,-1.41181000E-04

0,1668002422.6933918,-1.41608000E-04

0,1668002423.2153916,-1.41191000E-04

0,1668002423.7453918,-1.41608000E-04

