i,t_v,tensión(V)
0,1668007862.0089507,+1.02810100E-03

0,1668007862.532915,+1.02739300E-03

0,1668007863.0528786,+1.02735200E-03

0,1668007863.5828416,+1.02703900E-03

0,1668007864.1028051,+1.02666500E-03

0,1668007864.632768,+1.02652900E-03

0,1668007865.1527317,+1.02651900E-03

0,1668007865.6826947,+1.02609200E-03

0,1668007866.2026584,+1.02574900E-03

0,1668007866.732621,+1.02561300E-03

0,1668007867.2545846,+1.02524900E-03

0,1668007867.7845476,+1.02480100E-03

0,1668007868.3145106,+1.02467700E-03

0,1668007868.834474,+1.02433300E-03

0,1668007869.364437,+1.02434300E-03

0,1668007869.8844006,+1.02428100E-03

0,1668007870.4053643,+1.02410400E-03

0,1668007870.935327,+1.02378100E-03

0,1668007871.46529,+1.02365700E-03

0,1668007871.9852536,+1.02348000E-03

0,1668007872.5152164,+1.02327100E-03

0,1668007873.03518,+1.02362500E-03

0,1668007873.565143,+1.02429100E-03

0,1668007874.0851066,+1.02477000E-03

0,1668007874.6150694,+1.02566500E-03

0,1668007875.1350331,+1.02660200E-03

0,1668007875.6649961,+1.02766400E-03

0,1668007876.1849594,+1.02737200E-03

0,1668007876.7149224,+1.02728900E-03

0,1668007877.2348862,+1.02672700E-03

0,1668007877.764849,+1.02597800E-03

0,1668007878.2848125,+1.02531100E-03

0,1668007878.8147755,+1.02461400E-03

0,1668007879.3347392,+1.02418700E-03

0,1668007879.864702,+1.02335500E-03

0,1668007880.394665,+1.02291800E-03

0,1668007880.9146285,+1.02269900E-03

0,1668007881.4445913,+1.02257400E-03

0,1668007881.964555,+1.02166800E-03

0,1668007882.494518,+1.02140800E-03

0,1668007883.0144813,+1.02074200E-03

0,1668007883.5444443,+1.02061700E-03

0,1668007884.0744073,+1.02046100E-03

0,1668007884.5983715,+1.02049200E-03

0,1668007885.1183352,+1.02073200E-03

0,1668007885.648298,+1.02120000E-03

0,1668007886.178261,+1.02166800E-03

0,1668007886.6992245,+1.02172100E-03

0,1668007887.2291875,+1.02168900E-03

0,1668007887.749151,+1.02106500E-03

0,1668007888.279114,+1.02086700E-03

0,1668007888.7990777,+1.02076300E-03

0,1668007889.3290403,+1.02018000E-03

0,1668007889.8590033,+1.01988900E-03

0,1668007890.3829677,+1.01941000E-03

0,1668007890.9039314,+1.01897300E-03

0,1668007891.4338942,+1.01862900E-03

0,1668007891.955858,+1.01844200E-03

0,1668007892.4858208,+1.01813000E-03

0,1668007893.0057843,+1.01803600E-03

0,1668007893.535747,+1.01798400E-03

0,1668007894.06571,+1.01752600E-03

0,1668007894.5856738,+1.01708900E-03

0,1668007895.1156366,+1.01690100E-03

0,1668007895.6356,+1.01666200E-03

0,1668007896.165563,+1.01635000E-03

0,1668007896.695526,+1.01604800E-03

