i,t_v,Resistencia(Ohms)
0,1668615394.4189453,+1.20005020E+02
0,1668615394.8554688,+1.20001370E+02
0,1668615395.296875,+1.20002100E+02
0,1668615395.7353516,+1.20004500E+02
0,1668615396.1748044,+1.20005540E+02
0,1668615396.6152344,+1.20004500E+02
0,1668615397.0468748,+1.20000020E+02
0,1668615397.4902344,+1.19996800E+02
0,1668615397.9257812,+1.19992120E+02
0,1668615398.3671875,+1.19993780E+02
0,1668615398.8046875,+1.19992740E+02
0,1668615399.2451172,+1.19998770E+02
0,1668615399.6845703,+1.20004910E+02
0,1668615400.1259766,+1.20008240E+02
0,1668615400.5634766,+1.20005740E+02
0,1668615400.9980466,+1.20011150E+02
0,1668615401.4384766,+1.20016460E+02
0,1668615401.8769531,+1.20015000E+02
0,1668615402.3164062,+1.20024160E+02
0,1668615402.756836,+1.20035290E+02
0,1668615403.1972656,+1.20036950E+02
0,1668615403.6357422,+1.20021030E+02
0,1668615404.0742188,+1.20007100E+02
0,1668615404.5097656,+1.20002830E+02
0,1668615404.9462888,+1.19998670E+02
0,1668615405.3857422,+1.20006160E+02
0,1668615405.8261719,+1.20010110E+02
0,1668615406.2675781,+1.20025820E+02
0,1668615406.711914,+1.20049230E+02
0,1668615407.1513672,+1.20076480E+02
0,1668615407.59375,+1.20111330E+02
0,1668615408.0332031,+1.20164280E+02
0,1668615408.4746094,+1.20270590E+02
0,1668615408.913086,+1.20264350E+02
0,1668615409.3525388,+1.20243960E+02
0,1668615409.7949216,+1.20228560E+02
0,1668615410.2324219,+1.20299920E+02
0,1668615410.6748044,+1.20321670E+02
0,1668615411.116211,+1.20291290E+02
0,1668615411.5585938,+1.20273090E+02
0,1668615411.9960938,+1.20270280E+02
0,1668615412.428711,+1.20268820E+02
0,1668615412.8701172,+1.20279540E+02
0,1668615413.307617,+1.20269970E+02
0,1668615413.7480469,+1.20277460E+02
0,1668615414.1855466,+1.20282240E+02
0,1668615414.6259766,+1.20287960E+02
0,1668615415.0693357,+1.20291290E+02
0,1668615415.5048826,+1.20286920E+02
0,1668615415.9453125,+1.20271320E+02
0,1668615416.3828125,+1.20247810E+02
0,1668615416.823242,+1.20235330E+02
0,1668615417.2617188,+1.20230230E+02
0,1668615417.7050781,+1.20229710E+02
0,1668615418.1445312,+1.20227110E+02
0,1668615418.5878906,+1.20225650E+02
0,1668615419.0273435,+1.20221800E+02
0,1668615419.46875,+1.20225030E+02
0,1668615419.9091797,+1.20230120E+02
0,1668615420.3525388,+1.20235430E+02
0,1668615420.791992,+1.20234490E+02
0,1668615421.2314453,+1.20234910E+02
0,1668615421.6699219,+1.20227940E+02
0,1668615422.1083984,+1.20217750E+02
0,1668615422.5478516,+1.20211090E+02
0,1668615422.9873047,+1.20204010E+02
0,1668615423.4257812,+1.20198600E+02
0,1668615423.868164,+1.20214310E+02
0,1668615424.3095703,+1.20228560E+02
0,1668615424.7519531,+1.20251760E+02
0,1668615425.191406,+1.20275790E+02
0,1668615425.6298828,+1.20276520E+02
0,1668615426.071289,+1.20267360E+02
0,1668615426.506836,+1.20266120E+02
0,1668615426.9472656,+1.20312930E+02
0,1668615427.3867188,+1.20370250E+02
0,1668615427.828125,+1.20373370E+02
0,1668615428.2675781,+1.20382620E+02
0,1668615428.7060547,+1.20375550E+02
0,1668615429.1484375,+1.20361510E+02
0,1668615429.5859375,+1.20369930E+02
0,1668615430.026367,+1.20393030E+02
0,1668615430.4648438,+1.20417890E+02
0,1668615430.9091797,+1.20413420E+02
0,1668615431.3486328,+1.20393030E+02
0,1668615431.7890625,+1.20425590E+02
0,1668615432.2285156,+1.20439940E+02
0,1668615432.6689453,+1.20433800E+02
0,1668615433.1152344,+1.20436510E+02
0,1668615433.5576172,+1.20376690E+02
0,1668615433.9980466,+1.20371390E+02
0,1668615434.4384766,+1.20403220E+02
0,1668615434.8769531,+1.20410400E+02
0,1668615435.3203125,+1.20420700E+02
0,1668615435.7548828,+1.20387830E+02
0,1668615436.1953125,+1.20404470E+02
0,1668615436.6357422,+1.20405820E+02
0,1668615437.0742188,+1.20506520E+02
0,1668615437.5117188,+1.20710300E+02
0,1668615437.9511719,+1.20659950E+02
0,1668615438.390625,+1.20640710E+02
0,1668615438.8310547,+1.20603260E+02
0,1668615439.2685544,+1.20594210E+02
0,1668615439.7060547,+1.20695530E+02
0,1668615440.1513672,+1.20809640E+02
0,1668615440.5917966,+1.20786450E+02
0,1668615441.026367,+1.20642060E+02
0,1668615441.4658203,+1.20593170E+02
0,1668615441.9072266,+1.20560610E+02
0,1668615442.3466794,+1.20587970E+02
0,1668615442.7861328,+1.20598890E+02
0,1668615443.225586,+1.20619900E+02
0,1668615443.6660154,+1.20639560E+02
0,1668615444.1054688,+1.20630830E+02
0,1668615444.5468748,+1.20626560E+02
0,1668615444.988281,+1.20621260E+02
0,1668615445.4306638,+1.20612410E+02
0,1668615445.8701172,+1.20611890E+02
0,1668615446.3125,+1.20625310E+02
0,1668615446.7509766,+1.20637380E+02
0,1668615447.1923828,+1.20650170E+02
0,1668615447.6298828,+1.20649860E+02
0,1668615448.0693357,+1.20632390E+02
0,1668615448.5097656,+1.20624690E+02
0,1668615448.9511719,+1.20638320E+02
0,1668615449.390625,+1.20652150E+02
0,1668615449.8330078,+1.20670360E+02
0,1668615450.2724607,+1.20668590E+02
0,1668615450.7080076,+1.20659640E+02
0,1668615451.1503906,+1.20656100E+02
0,1668615451.5908203,+1.20660890E+02
0,1668615452.0302732,+1.20666190E+02
0,1668615452.472656,+1.20651840E+02
0,1668615452.915039,+1.20617930E+02
0,1668615453.350586,+1.20613350E+02
0,1668615453.791992,+1.20615120E+02
0,1668615454.2294922,+1.20616370E+02
0,1668615454.6660154,+1.20622710E+02
0,1668615455.1074216,+1.20630620E+02
