i,t_v,Resistencia(Ohms)
0,1669208295.4101562,+1.11532740E+02
0,1669208295.8476562,+1.11449210E+02
0,1669208296.2871094,+1.11377230E+02
0,1669208296.7285156,+1.11302640E+02
0,1669208297.1660154,+1.11238040E+02
0,1669208297.6054688,+1.11173550E+02
0,1669208298.0410156,+1.11096670E+02
0,1669208298.4804688,+1.11043930E+02
0,1669208298.9199219,+1.11025210E+02
0,1669208299.356445,+1.10983910E+02
0,1669208299.7958984,+1.10956860E+02
0,1669208300.2353516,+1.11174070E+02
0,1669208300.6777344,+1.11729770E+02
0,1669208301.120117,+1.12428710E+02
0,1669208301.55957,+1.13090300E+02
0,1669208301.9990234,+1.13637260E+02
0,1669208302.4404294,+1.14188700E+02
0,1669208302.8798828,+1.14968980E+02
0,1669208303.3271482,+1.15423150E+02
0,1669208303.7636719,+1.15589910E+02
0,1669208304.2021484,+1.15829060E+02
0,1669208304.6396484,+1.16023380E+02
0,1669208305.0800781,+1.16250040E+02
0,1669208305.5185547,+1.24362080E+02
0,1669208305.9560544,+1.24415340E+02
0,1669208306.399414,+1.24028580E+02
0,1669208306.8369138,+1.24486390E+02
0,1669208307.2724607,+1.24247760E+02
0,1669208307.711914,+1.24347200E+02
0,1669208308.1494138,+1.24508230E+02
0,1669208308.5888672,+1.24589270E+02
0,1669208309.0273435,+1.24577620E+02
0,1669208309.4658203,+1.24566900E+02
0,1669208309.9091797,+1.24555770E+02
0,1669208310.3476562,+1.24555460E+02
0,1669208310.7871094,+1.24544430E+02
0,1669208311.225586,+1.24524460E+02
0,1669208311.6679688,+1.24488160E+02
0,1669208312.1064453,+1.24456430E+02
0,1669208312.5478516,+1.24346270E+02
0,1669208312.9853513,+1.24292490E+02
0,1669208313.4248047,+1.24237350E+02
0,1669208313.8623044,+1.24244840E+02
0,1669208314.3007812,+1.24195220E+02
0,1669208314.7363281,+1.24094940E+02
0,1669208315.175781,+1.23965330E+02
0,1669208315.6132812,+1.23847890E+02
0,1669208316.055664,+1.23805550E+02
0,1669208316.4990234,+1.23776840E+02
0,1669208316.9433591,+1.23753330E+02
0,1669208317.3828125,+1.23742300E+02
0,1669208317.823242,+1.23721080E+02
0,1669208318.2636719,+1.23713490E+02
0,1669208318.7041013,+1.23706410E+02
0,1669208319.1484375,+1.23698920E+02
0,1669208319.584961,+1.23685090E+02
0,1669208320.0253906,+1.23652220E+02
0,1669208320.4658203,+1.23598440E+02
0,1669208320.9042966,+1.23547050E+02
0,1669208321.3457031,+1.23533940E+02
0,1669208321.788086,+1.23535610E+02
0,1669208322.2294922,+1.23537480E+02
0,1669208322.665039,+1.23572330E+02
0,1669208323.1064453,+1.23591260E+02
0,1669208323.5458984,+1.23608940E+02
0,1669208323.9863281,+1.23627980E+02
0,1669208324.4238281,+1.23645040E+02
0,1669208324.8623044,+1.23644620E+02
0,1669208325.303711,+1.23603010E+02
0,1669208325.7402341,+1.23580020E+02
0,1669208326.1835938,+1.23576280E+02
0,1669208326.6230469,+1.23594590E+02
0,1669208327.0566406,+1.23606240E+02
0,1669208327.4970703,+1.23597500E+02
0,1669208327.9384766,+1.23583980E+02
0,1669208328.3759766,+1.23502320E+02
0,1669208328.8125,+1.23161430E+02
0,1669208329.2539062,+1.23174430E+02
0,1669208329.694336,+1.23171620E+02
0,1669208330.1347656,+1.23065520E+02
0,1669208330.5751953,+1.23072900E+02
0,1669208331.0185547,+1.23044090E+02
0,1669208331.4589841,+1.22882020E+02
0,1669208331.8964844,+1.22818040E+02
0,1669208332.3320312,+1.22773110E+02
0,1669208332.7666016,+1.22875260E+02
0,1669208333.203125,+1.22917280E+02
0,1669208333.6445312,+1.22863710E+02
0,1669208334.082031,+1.22847170E+02
0,1669208334.5214844,+1.22588570E+02
0,1669208334.9570312,+1.22001240E+02
0,1669208335.3955078,+1.22302500E+02
0,1669208335.8320312,+1.21953600E+02
0,1669208336.2705078,+1.21907730E+02
0,1669208336.7080076,+1.22161650E+02
0,1669208337.1445312,+1.22351700E+02
0,1669208337.584961,+1.22413910E+02
0,1669208338.022461,+1.22459580E+02
0,1669208338.459961,+1.22474660E+02
0,1669208338.8984373,+1.22552680E+02
0,1669208339.334961,+1.21622910E+02
0,1669208339.7714844,+1.21414750E+02
0,1669208340.2080076,+1.21104550E+02
0,1669208340.647461,+1.21321550E+02
0,1669208341.082031,+1.21209100E+02
0,1669208341.522461,+1.21410910E+02
0,1669208341.959961,+1.20983260E+02
0,1669208342.397461,+1.21766050E+02
0,1669208342.8378906,+1.20755450E+02
0,1669208343.274414,+1.21409760E+02
0,1669208343.713867,+1.21674090E+02
0,1669208344.1513672,+1.21743260E+02
0,1669208344.5908203,+1.21792160E+02
0,1669208345.0292969,+1.22266610E+02
0,1669208345.4677734,+1.22339320E+02
0,1669208345.90625,+1.22089980E+02
0,1669208346.3476562,+1.22176630E+02
0,1669208346.7871094,+1.22443560E+02
0,1669208347.2236328,+1.22621540E+02
0,1669208347.6660154,+1.22555380E+02
0,1669208348.104492,+1.22256310E+02
0,1669208348.5449219,+1.22305310E+02
0,1669208348.9824219,+1.22534370E+02
0,1669208349.4199219,+1.22594390E+02
0,1669208349.8623044,+1.22595640E+02
0,1669208350.2998047,+1.22589190E+02
0,1669208350.7382812,+1.22558300E+02
0,1669208351.1777344,+1.22568590E+02
0,1669208351.6171875,+1.22562560E+02
0,1669208352.0546875,+1.22596680E+02
0,1669208352.495117,+1.22606770E+02
0,1669208352.9375,+1.22629140E+02
0,1669208353.3759766,+1.22546440E+02
0,1669208353.8183594,+1.22578060E+02
0,1669208354.2558591,+1.22591480E+02
0,1669208354.696289,+1.22588150E+02
0,1669208355.1386719,+1.22594390E+02
0,1669208355.5800781,+1.22599490E+02
0,1669208356.0185547,+1.22615400E+02
0,1669208356.459961,+1.22616970E+02
0,1669208356.8984373,+1.22601880E+02
0,1669208357.3359375,+1.22587530E+02
0,1669208357.7734375,+1.22597720E+02
0,1669208358.213867,+1.22587940E+02
0,1669208358.65625,+1.22573790E+02
0,1669208359.0966797,+1.22574110E+02
0,1669208359.5341797,+1.22575360E+02
0,1669208359.9755857,+1.22572960E+02
0,1669208360.415039,+1.22572440E+02
0,1669208360.8515625,+1.22565580E+02
0,1669208361.291992,+1.22549660E+02
0,1669208361.7324219,+1.22531770E+02
0,1669208362.1738281,+1.22339740E+02
0,1669208362.611328,+1.22288140E+02
0,1669208363.0527341,+1.22286060E+02
