i,t_v,tensión(V)
0,1668012597.6400492,+1.12472300E-03

0,1668012598.172049,+1.12343300E-03

0,1668012598.6920493,+1.12323500E-03

0,1668012599.224049,+1.12143400E-03

0,1668012599.744049,+1.12220400E-03

0,1668012600.2660494,+1.11539700E-03

0,1668012600.796049,+1.11118200E-03

0,1668012601.3220494,+1.08901200E-03

0,1668012601.833049,+1.08933400E-03

0,1668012602.375049,+1.08656600E-03

0,1668012602.8970492,+1.08754400E-03

0,1668012603.4170492,+1.08660700E-03

0,1668012603.9460492,+1.08597200E-03

0,1668012604.4730492,+1.08338100E-03

0,1668012604.9950492,+1.07102600E-03

0,1668012605.525049,+1.06635200E-03

0,1668012606.0470493,+1.06839200E-03

0,1668012606.577049,+1.07024500E-03

0,1668012607.097049,+1.07394000E-03

0,1668012607.6230493,+1.07541800E-03

0,1668012608.1550493,+1.07735400E-03

0,1668012608.6750493,+1.07894700E-03

0,1668012609.2070491,+1.07919600E-03

0,1668012609.727049,+1.07911300E-03

0,1668012610.2490492,+1.08224600E-03

0,1668012610.7790492,+1.08178800E-03

0,1668012611.301049,+1.08230800E-03

0,1668012611.8310492,+1.08383900E-03

0,1668012612.353049,+1.08396300E-03

0,1668012612.8650491,+1.08789800E-03

0,1668012613.4020493,+1.08709600E-03

0,1668012613.9300492,+1.08598300E-03

0,1668012614.4500492,+1.08542100E-03

0,1668012614.9820492,+1.07921700E-03

0,1668012615.5020492,+1.07465800E-03

0,1668012616.0340493,+1.07601100E-03

0,1668012616.5540493,+1.07452300E-03

0,1668012617.076049,+1.07517900E-03

0,1668012617.6060493,+1.07446000E-03

0,1668012618.1280491,+1.07430400E-03

0,1668012618.6580493,+1.05167600E-03

0,1668012619.1800492,+1.03207700E-03

0,1668012619.7100494,+1.02739300E-03

0,1668012620.2320492,+1.03184800E-03

0,1668012620.7620492,+1.01463200E-03

0,1668012621.284049,+1.02040900E-03

0,1668012621.8140492,+1.02312600E-03

0,1668012622.3430493,+1.02535300E-03

0,1668012622.8700492,+1.01834800E-03

0,1668012623.3950493,+1.01541300E-03

0,1668012623.9060493,+1.01183200E-03

0,1668012624.4390492,+1.01170800E-03

0,1668012624.9710493,+1.02325100E-03

0,1668012625.4910493,+1.03374200E-03

0,1668012626.023049,+1.03639700E-03

0,1668012626.543049,+1.03629200E-03

0,1668012627.0750492,+1.03892600E-03

0,1668012627.5950491,+1.03585500E-03

0,1668012628.1270492,+1.03437700E-03

0,1668012628.6470492,+1.03140000E-03

0,1668012629.1790493,+1.03059900E-03

0,1668012629.6990492,+1.03147300E-03

0,1668012630.2310493,+1.03080700E-03

0,1668012630.7510493,+1.03043200E-03

0,1668012631.283049,+1.02811100E-03

0,1668012631.8030493,+1.02708100E-03

0,1668012632.3350492,+1.02529100E-03

0,1668012632.8550491,+1.02383300E-03

0,1668012633.3870492,+1.02341700E-03

0,1668012633.9070492,+1.02511400E-03

0,1668012634.429049,+1.02147100E-03

0,1668012634.961049,+1.02095000E-03

0,1668012635.481049,+1.02034700E-03

0,1668012636.0130491,+1.02309400E-03

0,1668012636.533049,+1.02320900E-03

0,1668012637.0550492,+1.02342800E-03

0,1668012637.5850492,+1.02307400E-03

0,1668012638.1070492,+1.02316700E-03

0,1668012638.6370492,+1.02295900E-03

0,1668012639.1590493,+1.01576700E-03

0,1668012639.689049,+1.01589200E-03

0,1668012640.2110493,+1.01598500E-03

0,1668012640.741049,+1.01600600E-03

0,1668012641.2630491,+1.01614200E-03

0,1668012641.783049,+1.01628700E-03

0,1668012642.3150492,+1.01628700E-03

0,1668012642.836049,+1.01589200E-03

0,1668012643.3680491,+1.01497600E-03

0,1668012643.8880491,+1.01420600E-03

0,1668012644.4200492,+1.01266500E-03

0,1668012644.9400492,+1.01077100E-03

0,1668012645.4630492,+1.00790800E-03

0,1668012645.9950492,+1.00506700E-03

0,1668012646.5150492,+1.00153800E-03

0,1668012647.037049,+1.00032100E-03

0,1668012647.5670493,+9.98530000E-04

0,1668012648.089049,+9.97542000E-04

0,1668012648.6190493,+9.96875000E-04

0,1668012649.1410491,+9.97989000E-04

0,1668012649.671049,+1.00213200E-03

0,1668012650.1930492,+1.00017500E-03

0,1668012650.7170491,+9.99249000E-04

0,1668012651.2460492,+9.98780000E-04

0,1668012651.7680492,+9.98187000E-04

0,1668012652.2900493,+9.97719000E-04

0,1668012652.820049,+9.97365000E-04

0,1668012653.3420494,+9.96834000E-04

0,1668012653.872049,+9.96209000E-04

0,1668012654.3940492,+9.96240000E-04

0,1668012654.9240491,+9.95907000E-04

0,1668012655.4460492,+9.95543000E-04

0,1668012655.9760492,+9.96001000E-04

0,1668012656.4980493,+9.95491000E-04

0,1668012657.020049,+9.95345000E-04

0,1668012657.5500493,+9.95304000E-04

0,1668012658.0720491,+9.89485000E-04

0,1668012658.6020494,+9.89475000E-04

0,1668012659.1240492,+9.95522000E-04

0,1668012659.6540494,+9.93003000E-04

0,1668012660.1760492,+9.95876000E-04

0,1668012660.7060492,+9.95387000E-04

0,1668012661.228049,+9.95200000E-04

0,1668012661.7580492,+9.95220000E-04

0,1668012662.280049,+9.95179000E-04

0,1668012662.8100493,+9.95023000E-04

0,1668012663.333049,+9.94981000E-04

0,1668012663.8630493,+9.95023000E-04

0,1668012664.385049,+9.95096000E-04

0,1668012664.9150493,+9.95429000E-04

0,1668012665.4370492,+9.95408000E-04

0,1668012665.965049,+9.95793000E-04

0,1668012666.4830492,+9.95803000E-04

0,1668012667.004049,+9.96064000E-04

0,1668012667.5350492,+9.96386000E-04

0,1668012668.0670493,+9.96355000E-04

0,1668012668.5870492,+9.96667000E-04

0,1668012669.1190493,+9.96938000E-04

0,1668012669.6390493,+9.96813000E-04

0,1668012670.171049,+9.97115000E-04

0,1668012670.691049,+9.97084000E-04

0,1668012671.2230492,+9.97365000E-04

0,1668012671.7310493,+9.97261000E-04

0,1668012672.2560492,+9.97562000E-04

0,1668012672.7820492,+9.97490000E-04

0,1668012673.3090491,+9.97188000E-04

0,1668012673.833049,+9.97271000E-04

0,1668012674.3580494,+9.97833000E-04

0,1668012674.8830492,+9.97313000E-04

0,1668012675.408049,+9.97229000E-04

0,1668012675.9330492,+9.96896000E-04

0,1668012676.4580493,+9.96907000E-04

0,1668012676.9830492,+9.96345000E-04

0,1668012677.5320492,+9.95887000E-04

0,1668012678.0540493,+9.95470000E-04

0,1668012678.579049,+9.94960000E-04

0,1668012679.1190493,+9.94481000E-04

0,1668012679.6390493,+9.94003000E-04

0,1668012680.181049,+9.93451000E-04

0,1668012680.6870492,+9.92681000E-04

0,1668012681.224049,+9.92181000E-04

0,1668012681.7520492,+9.91276000E-04

0,1668012682.264049,+9.90120000E-04

0,1668012682.7890491,+9.89121000E-04

0,1668012683.3150492,+9.87872000E-04

0,1668012683.8400493,+9.86561000E-04

0,1668012684.3660493,+9.85187000E-04

0,1668012684.908049,+9.84541000E-04

0,1668012685.4180493,+9.83584000E-04

0,1668012685.9560492,+9.83136000E-04

0,1668012686.477049,+9.82741000E-04

0,1668012686.9950492,+9.82689000E-04

0,1668012687.541049,+9.82512000E-04

0,1668012688.0640492,+9.82095000E-04

0,1668012688.589049,+9.82387000E-04

0,1668012689.1150491,+9.82272000E-04

0,1668012689.6400492,+9.82043000E-04

0,1668012690.1770492,+9.82366000E-04

0,1668012690.691049,+9.81950000E-04

0,1668012691.225049,+9.82012000E-04

0,1668012691.7590492,+9.82106000E-04

0,1668012692.280049,+9.82002000E-04

0,1668012692.7920492,+9.82220000E-04

0,1668012693.3500493,+9.82075000E-04

0,1668012693.8870492,+9.82387000E-04

0,1668012694.3970492,+9.82366000E-04

0,1668012694.9390492,+9.82231000E-04

0,1668012695.4620492,+9.82564000E-04

0,1668012695.9730492,+9.82793000E-04

0,1668012696.5110493,+9.82834000E-04

0,1668012697.024049,+9.82918000E-04

0,1668012697.5500493,+9.83126000E-04

0,1668012698.0900493,+9.83126000E-04

0,1668012698.612049,+9.83813000E-04

0,1668012699.1380494,+9.83927000E-04

0,1668012699.668049,+9.84239000E-04

0,1668012700.1790493,+9.84697000E-04

0,1668012700.705049,+9.85093000E-04

0,1668012701.2470493,+9.84989000E-04

0,1668012701.7670493,+9.85530000E-04

0,1668012702.2990491,+9.86051000E-04

0,1668012702.8080492,+9.86144000E-04

0,1668012703.3340492,+9.86394000E-04

0,1668012703.8600492,+9.86831000E-04

0,1668012704.3860493,+9.86748000E-04

0,1668012704.9110491,+9.87102000E-04

