i,t_v,tensión(V)
0,1668614396.3710938,+1.23882530E+02
0,1668614396.8125,+1.23888350E+02
0,1668614397.2499998,+1.23878680E+02
0,1668614397.6865234,+1.23837170E+02
0,1668614398.1308594,+1.23794000E+02
0,1668614398.5693357,+1.23761230E+02
0,1668614399.0058594,+1.23738660E+02
0,1668614399.4423828,+1.23727110E+02
0,1668614399.8808594,+1.23705790E+02
0,1668614400.3222656,+1.23634120E+02
0,1668614400.7685544,+1.23564630E+02
0,1668614401.2070312,+1.23533730E+02
0,1668614401.647461,+1.23566710E+02
0,1668614402.0878906,+1.23593650E+02
0,1668614402.526367,+1.23588030E+02
0,1668614402.9667969,+1.23499200E+02
0,1668614403.4072266,+1.23423050E+02
0,1668614403.850586,+1.23361880E+02
0,1668614404.2910156,+1.23314660E+02
0,1668614404.7314453,+1.23285530E+02
0,1668614405.171875,+1.23267220E+02
0,1668614405.6142578,+1.23256090E+02
0,1668614406.0488281,+1.23245480E+02
0,1668614406.4833984,+1.23228000E+02
0,1668614406.9248047,+1.23190140E+02
0,1668614407.3632812,+1.23114830E+02
0,1668614407.8017578,+1.23015070E+02
0,1668614408.2373047,+1.22930810E+02
0,1668614408.6777344,+1.22878170E+02
0,1668614409.111328,+1.22842280E+02
0,1668614409.553711,+1.22809620E+02
0,1668614409.9941406,+1.22768840E+02
0,1668614410.4335935,+1.22718080E+02
0,1668614410.868164,+1.22667420E+02
0,1668614411.3095703,+1.22631320E+02
0,1668614411.7441406,+1.22568390E+02
0,1668614412.1865234,+1.22500560E+02
0,1668614412.6240232,+1.22465820E+02
0,1668614413.0673828,+1.22459780E+02
0,1668614413.5048826,+1.22460200E+02
0,1668614413.9404294,+1.22452920E+02
0,1668614414.378906,+1.22442100E+02
0,1668614414.819336,+1.22431800E+02
0,1668614415.258789,+1.22424100E+02
0,1668614415.6953125,+1.22418900E+02
0,1668614416.1367185,+1.22413490E+02
0,1668614416.5761719,+1.22408920E+02
0,1668614417.0146484,+1.22404960E+02
0,1668614417.4501953,+1.22402050E+02
0,1668614417.890625,+1.22395910E+02
0,1668614418.3310547,+1.22375420E+02
0,1668614418.7714844,+1.22337040E+02
0,1668614419.2148438,+1.22278570E+02
0,1668614419.65625,+1.22204610E+02
0,1668614420.09375,+1.22137720E+02
0,1668614420.538086,+1.22089560E+02
0,1668614420.9755857,+1.22060430E+02
0,1668614421.4208982,+1.22048060E+02
0,1668614421.8613281,+1.22043270E+02
0,1668614422.305664,+1.22044100E+02
0,1668614422.7431638,+1.22049930E+02
0,1668614423.180664,+1.22055440E+02
0,1668614423.6220703,+1.22053260E+02
0,1668614424.0605469,+1.22029640E+02
0,1668614424.4990234,+1.21985640E+02
0,1668614424.9384766,+1.21939970E+02
0,1668614425.375,+1.21905650E+02
0,1668614425.8134766,+1.21887340E+02
0,1668614426.2519531,+1.21882140E+02
0,1668614426.6923828,+1.21883070E+02
0,1668614427.131836,+1.21885780E+02
0,1668614427.5722654,+1.21887340E+02
0,1668614428.0136716,+1.21883070E+02
0,1668614428.4550781,+1.21876520E+02
0,1668614428.8964844,+1.21868410E+02
0,1668614429.3369138,+1.21860500E+02
0,1668614429.774414,+1.21855610E+02
0,1668614430.213867,+1.21852590E+02
0,1668614430.6513672,+1.21849990E+02
0,1668614431.0898438,+1.21847600E+02
0,1668614431.53125,+1.21847700E+02
0,1668614431.9716794,+1.21848120E+02
0,1668614432.40625,+1.21846040E+02
0,1668614432.8476562,+1.21828250E+02
0,1668614433.2832031,+1.21752520E+02
0,1668614433.725586,+1.21595130E+02
0,1668614434.1660154,+1.21473320E+02
0,1668614434.611328,+1.21403830E+02
0,1668614435.0507812,+1.21370650E+02
0,1668614435.4863281,+1.21358370E+02
